experiment,ticker,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,AAPL,1,ARIMA,50,1.081676392320915,0.6207401668022374,0.012055893530241703,0.42
Experiment 1 — Univariate Close,AAPL,1,Chronos-2,50,1.1303329467773446,0.4740753173828125,0.012781001981439504,0.5
Experiment 1 — Univariate Close,AAPL,1,EGARCH,50,1.0615025581943527,0.5849702397978653,0.011667423853896774,0.62
Experiment 1 — Univariate Close,AAPL,1,ETS,50,1.0670383126022875,0.6050423457966367,0.011823134006523699,0.46
Experiment 1 — Univariate Close,AAPL,1,GARCH,50,1.058823514320892,0.5909460451401412,0.011617953798534118,0.62
Experiment 1 — Univariate Close,AAPL,1,GJR-GARCH,50,1.0606092512872982,0.5804794754514759,0.011649033837331173,0.62
Experiment 1 — Univariate Close,AAPL,1,LightGBM,50,1.1788996237749716,0.5275797493357786,0.012852455823054847,0.48
Experiment 1 — Univariate Close,AAPL,1,Naive,50,1.0765672874450665,0.617242813110348,0.011966747583068493,0.0
Experiment 1 — Univariate Close,AAPL,1,XGBoost,50,1.1105712798086091,0.39866877077781027,0.01259784386710106,0.48
Experiment 1 — Univariate Close,AAPL,5,ARIMA,50,2.916367805247442,1.0199599484029704,0.028768097911276394,0.54
Experiment 1 — Univariate Close,AAPL,5,Chronos-2,50,3.085865898132324,1.2063350677490234,0.02988490875527664,0.42
Experiment 1 — Univariate Close,AAPL,5,ETS,50,2.8746184031744297,1.100793384892242,0.0281852061102538,0.56
Experiment 1 — Univariate Close,AAPL,5,GARCH,50,2.908317909597214,1.1161891634904322,0.02766542847871737,0.62
Experiment 1 — Univariate Close,AAPL,5,GJR-GARCH,50,2.9075468913629106,1.1261411514101258,0.027731476043986323,0.62
Experiment 1 — Univariate Close,AAPL,5,LightGBM,50,3.2826139866912625,1.3009851409984314,0.03237083609834898,0.54
Experiment 1 — Univariate Close,AAPL,5,Naive,50,2.9244099998474113,1.084907531738267,0.028822055126631514,0.0
Experiment 1 — Univariate Close,AAPL,5,XGBoost,50,3.5326135994949754,0.9187884719709523,0.033291091034716974,0.58
Experiment 1 — Univariate Close,AAPL,10,ARIMA,50,3.6039159369316427,1.485169608416001,0.0401160839360506,0.52
Experiment 1 — Univariate Close,AAPL,10,Chronos-2,50,3.6634497261047367,1.6989803314208984,0.03922300668183258,0.56
Experiment 1 — Univariate Close,AAPL,10,ETS,50,3.465506258824066,1.3394728311185773,0.038851192030515624,0.64
Experiment 1 — Univariate Close,AAPL,10,GARCH,50,3.3821906320440007,1.3979621646054188,0.03590532272402878,0.68
Experiment 1 — Univariate Close,AAPL,10,GJR-GARCH,50,3.40072519052063,1.3887578861783272,0.03622643427102795,0.68
Experiment 1 — Univariate Close,AAPL,10,LightGBM,50,4.113546001599564,1.5734795783592972,0.045850850326581115,0.62
Experiment 1 — Univariate Close,AAPL,10,Naive,50,3.610375232696533,1.4745950698852504,0.0401661532844384,0.0
Experiment 1 — Univariate Close,AAPL,10,XGBoost,50,3.800028226193257,1.3327320778445646,0.043564925016836675,0.62
Experiment 1 — Univariate Close,AAPL,20,ARIMA,50,6.414903169027818,2.3214403257487017,0.06779035480204212,0.52
Experiment 1 — Univariate Close,AAPL,20,Chronos-2,50,6.3519170951843265,2.5102510452270526,0.06638189307125728,0.62
Experiment 1 — Univariate Close,AAPL,20,ETS,50,6.412038706019646,2.633375037274508,0.0669275649771778,0.62
Experiment 1 — Univariate Close,AAPL,20,GARCH,50,5.871409934036536,2.1359590230947134,0.06466579385805084,0.68
Experiment 1 — Univariate Close,AAPL,20,GJR-GARCH,50,5.9086248934571985,2.1953578454180356,0.06473631881195337,0.68
Experiment 1 — Univariate Close,AAPL,20,LightGBM,50,7.166321419384665,2.8927489893481084,0.09433409381148725,0.5
Experiment 1 — Univariate Close,AAPL,20,Naive,50,6.409120712280273,2.3265686035156268,0.0677403942552402,0.0
Experiment 1 — Univariate Close,AAPL,20,XGBoost,50,7.584682371210465,3.6080024591720132,0.09644596979998507,0.48
Experiment 1 — Univariate Close,AMZN,1,ARIMA,50,1.1288003590741342,0.4044129734739954,0.013316758117481262,0.56
Experiment 1 — Univariate Close,AMZN,1,Chronos-2,50,1.319822196960448,0.6144447326660085,0.015885420094708898,0.38
Experiment 1 — Univariate Close,AMZN,1,EGARCH,50,1.1191020663149345,0.3967077784247621,0.013241600864330618,0.64
Experiment 1 — Univariate Close,AMZN,1,ETS,50,1.131970382795153,0.4234125330928249,0.013370003835606962,0.56
Experiment 1 — Univariate Close,AMZN,1,GARCH,50,1.1127900285000796,0.4237662851493962,0.01317316706307481,0.64
Experiment 1 — Univariate Close,AMZN,1,GJR-GARCH,50,1.1170245625787183,0.4054941232251954,0.01321748318005451,0.64
