experiment,horizon,model,stocks,observations,avg_price_mae,median_price_mae,avg_return_abs_error,avg_directional_accuracy
Experiment 1 — Univariate Close,1,ARIMA,10,500,1.242182244908891,1.2200121462739981,0.029825676520404798,0.492
Experiment 1 — Univariate Close,1,Chronos-2,10,500,1.3015276182889934,1.3320479023456566,0.03138934562575719,0.46399999999999997
Experiment 1 — Univariate Close,1,EGARCH,10,500,1.2191471323838736,1.210279615968966,0.029569103453299845,0.562
Experiment 1 — Univariate Close,1,ETS,10,500,1.2324319840485873,1.2164092017823465,0.029916189821483162,0.488
Experiment 1 — Univariate Close,1,GARCH,10,500,1.2163914329096788,1.2082640491359027,0.029554729071448772,0.55
Experiment 1 — Univariate Close,1,GJR-GARCH,10,500,1.2183814362371188,1.2103220642791608,0.029580178723963874,0.56
Experiment 1 — Univariate Close,1,LightGBM,10,500,1.4440750637447008,1.5350133766046024,0.0349569766095751,0.49000000000000005
Experiment 1 — Univariate Close,1,Naive,10,500,1.2294526450037946,1.2186450779438007,0.029640430711460136,0.01
Experiment 1 — Univariate Close,1,XGBoost,10,500,1.4072914688993046,1.4388439510769417,0.034696196836512865,0.45600000000000007
Experiment 1 — Univariate Close,5,ARIMA,10,500,2.7226180629018293,2.589629329925736,0.0648066999874338,0.52
Experiment 1 — Univariate Close,5,Chronos-2,10,500,2.7574994112849236,2.680378022789955,0.06661434316998043,0.48600000000000004
Experiment 1 — Univariate Close,5,ETS,10,500,2.710776564116827,2.58829400759974,0.06452038255885091,0.524
Experiment 1 — Univariate Close,5,GARCH,10,500,2.6782544029999475,2.609594911655207,0.06439468406734572,0.558
Experiment 1 — Univariate Close,5,GJR-GARCH,10,500,2.6847804733220313,2.608947160461449,0.06451823081019525,0.5519999999999999
Experiment 1 — Univariate Close,5,LightGBM,10,500,3.300413592774541,3.1649812593493816,0.08127382291926419,0.502
Experiment 1 — Univariate Close,5,Naive,10,500,2.717854095041752,2.5993201571702955,0.06471487530798042,0.002
Experiment 1 — Univariate Close,5,XGBoost,10,500,3.178297502140521,3.3924480282059264,0.07767224805808043,0.534
Experiment 1 — Univariate Close,10,ARIMA,10,500,3.9103642978192155,3.592002162694139,0.09266358034997413,0.526
Experiment 1 — Univariate Close,10,Chronos-2,10,500,3.9115014292597765,3.753276209831238,0.09683283864194468,0.49800000000000005
Experiment 1 — Univariate Close,10,ETS,10,500,3.872923142969712,3.5238292357453287,0.09281559393764,0.556
Experiment 1 — Univariate Close,10,GARCH,10,500,3.802653036737689,3.4975417503349764,0.09225105065196813,0.558
Experiment 1 — Univariate Close,10,GJR-GARCH,10,500,3.814084490623576,3.506905995177172,0.09240495837904378,0.5519999999999999
Experiment 1 — Univariate Close,10,LightGBM,10,500,4.663606365994482,4.685886406812036,0.11481271598323621,0.532
Experiment 1 — Univariate Close,10,Naive,10,500,3.897812913298607,3.6118875789642333,0.0926671529094262,0.012
Experiment 1 — Univariate Close,10,XGBoost,10,500,4.422601973987463,4.578673767495264,0.11277158419821413,0.532
Experiment 1 — Univariate Close,20,ARIMA,10,500,5.573652983625587,5.731490569809042,0.1385646332747899,0.514
Experiment 1 — Univariate Close,20,Chronos-2,10,500,5.69002543643117,6.096052861213685,0.1476033909891666,0.544
Experiment 1 — Univariate Close,20,ETS,10,500,5.539522194299493,5.685082493774717,0.14048913618627148,0.532
Experiment 1 — Univariate Close,20,GARCH,10,500,5.35882652136331,5.513886268467896,0.13857532651344648,0.5640000000000001
Experiment 1 — Univariate Close,20,GJR-GARCH,10,500,5.37432602158322,5.5327425970328115,0.1388963488136913,0.5660000000000001
Experiment 1 — Univariate Close,20,LightGBM,10,500,7.545564467743262,7.530546834170646,0.1911506466008066,0.54
Experiment 1 — Univariate Close,20,Naive,10,500,5.559366273850202,5.679635076522828,0.13850589701243726,0.0
Experiment 1 — Univariate Close,20,XGBoost,10,500,7.266230152199297,7.713099799410124,0.18891268133125913,0.536
Experiment 2 — OHLCV,1,ARIMA,10,500,1.242182244908891,1.2200121462739981,0.029825676520404798,0.492
Experiment 2 — OHLCV,1,Chronos-2,10,500,1.3047597774267194,1.2985951602458954,0.032073025679682635,0.47000000000000003
Experiment 2 — OHLCV,1,EGARCH,10,500,1.2191471323838736,1.210279615968966,0.029569103453299845,0.562
Experiment 2 — OHLCV,1,ETS,10,500,1.2324319840485873,1.2164092017823465,0.029916189821483162,0.488
Experiment 2 — OHLCV,1,GARCH,10,500,1.2163914329096788,1.2082640491359027,0.029554729071448772,0.55
Experiment 2 — OHLCV,1,GJR-GARCH,10,500,1.2183814362371188,1.2103220642791608,0.029580178723963874,0.56
Experiment 2 — OHLCV,1,LightGBM,10,500,1.4440750637447008,1.5350133766046024,0.0349569766095751,0.49000000000000005
Experiment 2 — OHLCV,1,Naive,10,500,1.2294526450037946,1.2186450779438007,0.029640430711460136,0.01
Experiment 2 — OHLCV,1,XGBoost,10,500,1.4072914688993046,1.4388439510769417,0.034696196836512865,0.45600000000000007
Experiment 2 — OHLCV,5,ARIMA,10,500,2.7226180629018293,2.589629329925736,0.0648066999874338,0.52
Experiment 2 — OHLCV,5,Chronos-2,10,500,2.740309753417969,2.6135829263925556,0.06642020828165304,0.496
Experiment 2 — OHLCV,5,ETS,10,500,2.710776564116827,2.58829400759974,0.06452038255885091,0.524
Experiment 2 — OHLCV,5,GARCH,10,500,2.6782544029999475,2.609594911655207,0.06439468406734572,0.558
Experiment 2 — OHLCV,5,GJR-GARCH,10,500,2.6847804733220313,2.608947160461449,0.06451823081019525,0.5519999999999999
Experiment 2 — OHLCV,5,LightGBM,10,500,3.300413592774541,3.1649812593493816,0.08127382291926419,0.502
Experiment 2 — OHLCV,5,Naive,10,500,2.717854095041752,2.5993201571702955,0.06471487530798042,0.002
Experiment 2 — OHLCV,5,XGBoost,10,500,3.178297502140521,3.3924480282059264,0.07767224805808043,0.534
Experiment 2 — OHLCV,10,ARIMA,10,500,3.9103642978192155,3.592002162694139,0.09266358034997413,0.526
Experiment 2 — OHLCV,10,Chronos-2,10,500,3.9124959183931347,3.6736291122436526,0.09678154059254138,0.5
Experiment 2 — OHLCV,10,ETS,10,500,3.872923142969712,3.5238292357453287,0.09281559393764,0.556
Experiment 2 — OHLCV,10,GARCH,10,500,3.802653036737689,3.4975417503349764,0.09225105065196813,0.558
Experiment 2 — OHLCV,10,GJR-GARCH,10,500,3.814084490623576,3.506905995177172,0.09240495837904378,0.5519999999999999
Experiment 2 — OHLCV,10,LightGBM,10,500,4.663606365994482,4.685886406812036,0.11481271598323621,0.532
Experiment 2 — OHLCV,10,Naive,10,500,3.897812913298607,3.6118875789642333,0.0926671529094262,0.012
Experiment 2 — OHLCV,10,XGBoost,10,500,4.422601973987463,4.578673767495264,0.11277158419821413,0.532
Experiment 2 — OHLCV,20,ARIMA,10,500,5.573652983625587,5.731490569809042,0.1385646332747899,0.514
Experiment 2 — OHLCV,20,Chronos-2,10,500,5.663420861929655,5.921790990829468,0.14295406990368656,0.536
Experiment 2 — OHLCV,20,ETS,10,500,5.539522194299493,5.685082493774717,0.14048913618627148,0.532
Experiment 2 — OHLCV,20,GARCH,10,500,5.35882652136331,5.513886268467896,0.13857532651344648,0.5640000000000001
Experiment 2 — OHLCV,20,GJR-GARCH,10,500,5.37432602158322,5.5327425970328115,0.1388963488136913,0.5660000000000001
Experiment 2 — OHLCV,20,LightGBM,10,500,7.545564467743262,7.530546834170646,0.1911506466008066,0.54
Experiment 2 — OHLCV,20,Naive,10,500,5.559366273850202,5.679635076522828,0.13850589701243726,0.0
