ticker,model,actual_spikes,precision,recall,tp,fp,fn
AAPL,XGBoost,1,0.0,0.0,0,0,1
AAPL,Chronos-2,1,0.0,0.0,0,6,1
AMZN,XGBoost,2,0.0,0.0,0,0,2
AMZN,Chronos-2,2,0.0,0.0,0,13,2
CVNA,XGBoost,6,0.0,0.0,0,1,6
CVNA,Chronos-2,6,0.17647058823529413,0.5,3,14,3
ENPH,XGBoost,6,0.0,0.0,0,1,6
ENPH,Chronos-2,6,0.2631578947368421,0.8333333333333334,5,14,1
IONQ,XGBoost,4,0.0,0.0,0,1,4
IONQ,Chronos-2,4,0.18181818181818182,0.5,2,9,2
MSFT,XGBoost,3,0.0,0.0,0,0,3
MSFT,Chronos-2,3,0.15384615384615385,0.6666666666666666,2,11,1
NVDA,XGBoost,5,0.0,0.0,0,1,5
NVDA,Chronos-2,5,0.0,0.0,0,13,5
PLUG,XGBoost,4,0.0,0.0,0,1,4
PLUG,Chronos-2,4,0.2,0.5,2,8,2
RKLB,XGBoost,3,0.0,0.0,0,0,3
RKLB,Chronos-2,3,0.11764705882352941,0.6666666666666666,2,15,1
SMCI,XGBoost,4,1.0,0.25,1,0,3
SMCI,Chronos-2,4,0.0,0.0,0,5,4
