ticker,model,actual_spikes,precision,recall,tp,fp,fn
AAPL,XGBoost,1,0.0,0.0,0,0,1
AAPL,Chronos-2,1,0.0,0.0,0,0,1
AMZN,XGBoost,2,0.0,0.0,0,0,2
AMZN,Chronos-2,2,0.0,0.0,0,0,2
CVNA,XGBoost,6,0.0,0.0,0,1,6
CVNA,Chronos-2,6,0.0,0.0,0,0,6
ENPH,XGBoost,6,0.0,0.0,0,1,6
ENPH,Chronos-2,6,0.0,0.0,0,0,6
IONQ,XGBoost,4,0.0,0.0,0,1,4
IONQ,Chronos-2,4,0.0,0.0,0,0,4
MSFT,XGBoost,3,0.0,0.0,0,0,3
MSFT,Chronos-2,3,0.0,0.0,0,0,3
NVDA,XGBoost,5,0.0,0.0,0,1,5
NVDA,Chronos-2,5,0.0,0.0,0,0,5
PLUG,XGBoost,4,0.0,0.0,0,1,4
PLUG,Chronos-2,4,0.0,0.0,0,0,4
RKLB,XGBoost,3,0.0,0.0,0,0,3
RKLB,Chronos-2,3,0.0,0.0,0,0,3
SMCI,XGBoost,4,1.0,0.25,1,0,3
SMCI,Chronos-2,4,0.0,0.0,0,0,4
