ticker,experiment,horizon,ml_mae,chronos_mae,ml_direction,chronos_direction,p10_breach_rate,p90_breach_rate,chronos_mae_improvement_pct
AAPL,Experiment 2 — OHLCV,1,1.1105712798086091,1.0846984291076647,0.48,0.52,0.02,0.22,2.3296884379544984
AAPL,Experiment 2 — OHLCV,5,3.5326135994949754,3.019513053894043,0.58,0.42,0.06,0.24,14.524672205142553
AAPL,Experiment 2 — OHLCV,10,3.800028226193257,3.5906976699829105,0.62,0.62,0.04,0.24,5.508657929629305
AAPL,Experiment 2 — OHLCV,20,7.584682371210465,6.535267238616943,0.48,0.54,0.02,0.3,13.835979955823015
AMZN,Experiment 2 — OHLCV,1,1.4409696173499194,1.316744976043701,0.48,0.42,0.02,0.16,8.620906354339324
AMZN,Experiment 2 — OHLCV,5,3.472490377907336,3.179802608489989,0.62,0.54,0.08,0.18,8.428756816130694
AMZN,Experiment 2 — OHLCV,10,5.419068419877238,5.086496162414551,0.54,0.38,0.06,0.18,6.137074339988153
AMZN,Experiment 2 — OHLCV,20,8.078667285199804,6.156835231781007,0.68,0.54,0.12,0.16,23.78897391825521
CVNA,Experiment 2 — OHLCV,1,1.4367182848039641,1.2937306046485901,0.38,0.54,0.12,0.16,9.952381177837118
CVNA,Experiment 2 — OHLCV,5,2.650157031418608,2.511438094377518,0.58,0.42,0.14,0.14,5.234366695879709
CVNA,Experiment 2 — OHLCV,10,4.520242053485656,3.398066623210907,0.38,0.36,0.18,0.16,24.82556060044209
CVNA,Experiment 2 — OHLCV,20,7.261916093026109,4.969665701389313,0.42,0.42,0.18,0.12,31.56536597604219
ENPH,Experiment 2 — OHLCV,1,2.6634055968086003,2.5568630087375652,0.5,0.64,0.04,0.18,4.000238949662744
ENPH,Experiment 2 — OHLCV,5,6.98903874564739,5.1822494435310364,0.46,0.68,0.04,0.12,25.85175684197744
ENPH,Experiment 2 — OHLCV,10,9.692819430155025,7.590913047790528,0.54,0.66,0.08,0.22,21.685190748785875
ENPH,Experiment 2 — OHLCV,20,15.492855347754675,12.255576003789901,0.48,0.54,0.12,0.18,20.895304779528207
IONQ,Experiment 2 — OHLCV,1,1.766403968640491,1.3034597158432004,0.4,0.56,0.14,0.16,26.20828876157897
IONQ,Experiment 2 — OHLCV,5,3.5145774524285383,2.715727758407593,0.5,0.58,0.06,0.1,22.72960846172128
IONQ,Experiment 2 — OHLCV,10,4.6371054815048725,3.7565605545043947,0.58,0.5,0.12,0.16,18.989107116767933
IONQ,Experiment 2 — OHLCV,20,8.576444903920356,5.68674674987793,0.56,0.56,0.08,0.18,33.693426430356055
MSFT,Experiment 2 — OHLCV,1,2.3937850394263656,2.3491432952880844,0.5,0.36,0.04,0.2,1.864901960828482
MSFT,Experiment 2 — OHLCV,5,4.556370676336346,4.573898887634277,0.56,0.5,0.0,0.18,-0.38469678046529465
MSFT,Experiment 2 — OHLCV,10,6.070255917218873,6.297335510253904,0.66,0.66,0.04,0.18,-3.7408569940337797
MSFT,Experiment 2 — OHLCV,20,9.63262441589336,7.045959930419924,0.56,0.66,0.04,0.12,26.853164556126224
NVDA,Experiment 2 — OHLCV,1,0.8357193435653708,0.9269877296686161,0.5,0.34,0.06,0.24,-10.920937370418324
NVDA,Experiment 2 — OHLCV,5,2.056016138070359,2.305791515111922,0.48,0.42,0.02,0.28,-12.148512475976263
NVDA,Experiment 2 — OHLCV,10,2.5523248938224543,2.5879405570030203,0.54,0.54,0.04,0.22,-1.3954204367464622
NVDA,Experiment 2 — OHLCV,20,4.131072562797525,4.134759083986283,0.52,0.64,0.06,0.18,-0.08923883889034205
PLUG,Experiment 2 — OHLCV,1,0.3374894179856886,0.2759635108709335,0.38,0.48,0.1,0.12,18.230470004651856
PLUG,Experiment 2 — OHLCV,5,0.6876742572275151,0.6118120968341827,0.46,0.5,0.12,0.18,11.031699906753031
PLUG,Experiment 2 — OHLCV,10,0.9420182056865057,0.828284887075424,0.54,0.44,0.1,0.14,12.073367364296038
PLUG,Experiment 2 — OHLCV,20,1.6648103598696156,1.2604179927706718,0.5,0.6,0.16,0.12,24.290596505575262
RKLB,Experiment 2 — OHLCV,1,1.7778545374735346,1.5458829832077023,0.42,0.54,0.04,0.12,13.047836556723102
RKLB,Experiment 2 — OHLCV,5,3.312405678504517,2.2638102006912235,0.48,0.52,0.08,0.08,31.65661394128248
RKLB,Experiment 2 — OHLCV,10,4.938910350237682,4.189681353569031,0.48,0.44,0.08,0.08,15.16992501458535
RKLB,Experiment 2 — OHLCV,20,7.841517227609782,6.684222006797791,0.62,0.34,0.12,0.22,14.758562497792957
SMCI,Experiment 2 — OHLCV,1,0.3099976031305017,0.39412352085113544,0.52,0.3,0.08,0.2,-27.137602636630305
SMCI,Experiment 2 — OHLCV,5,1.0116310643696211,1.0390538752079008,0.62,0.38,0.1,0.18,-2.7107521510687986
SMCI,Experiment 2 — OHLCV,10,1.653246761693075,1.7989828181266785,0.44,0.4,0.14,0.16,-8.815142410099535
SMCI,Experiment 2 — OHLCV,20,2.3977109547112825,1.9047586798667908,0.54,0.52,0.1,0.2,20.55928692638642
