model,horizon,mean_marginal_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-2,1,0.7855,0.071,0.1435,0.08702525250404142,-0.014500000000000068
Chronos-2,5,0.7925,0.090875,0.116625,0.08791034437291091,-0.007500000000000062
Chronos-2,10,0.7976923076923077,0.09123076923076923,0.11107692307692307,0.08818282568300716,-0.002307692307692344
Chronos-2,20,0.7966111111111112,0.09411111111111112,0.10927777777777778,0.0885730529031975,-0.0033888888888888857
Chronos-LoRA-V1,1,0.797,0.073,0.13,0.0858038960576523,-0.0030000000000000027
Chronos-LoRA-V1,5,0.797875,0.09075,0.111375,0.08641501601692289,-0.0021250000000000435
Chronos-LoRA-V1,10,0.7985384615384615,0.09207692307692307,0.10938461538461539,0.08652088245215754,-0.001461538461538514
Chronos-LoRA-V1,20,0.7968333333333333,0.09461111111111112,0.10855555555555556,0.08679096351276773,-0.003166666666666762
Chronos-LoRA-V2,1,0.78,0.08,0.14,0.08115831875591539,-0.020000000000000018
Chronos-LoRA-V2,5,0.782375,0.099,0.118625,0.0814228162097279,-0.017625000000000002
Chronos-LoRA-V2,10,0.7826153846153846,0.10076923076923076,0.11661538461538462,0.08106421963207854,-0.017384615384615443
Chronos-LoRA-V2,20,0.7800555555555555,0.10405555555555555,0.11588888888888889,0.08115429009618755,-0.019944444444444542
Chronos-LoRA-V3,1,0.784,0.082,0.134,0.08269978694943711,-0.016000000000000014
Chronos-LoRA-V3,5,0.78575,0.09875,0.1155,0.08291044820687966,-0.014250000000000096
Chronos-LoRA-V3,10,0.7876923076923077,0.09853846153846153,0.11376923076923078,0.08308567293976934,-0.012307692307692353
Chronos-LoRA-V3,20,0.7858888888888889,0.10116666666666667,0.11294444444444444,0.08327666798102049,-0.014111111111111185
Chronos-LoRA-V4,1,0.7825,0.074,0.1435,0.08239490962168201,-0.01750000000000007
Chronos-LoRA-V4,5,0.783875,0.095625,0.1205,0.08161082410119706,-0.016125000000000056
Chronos-LoRA-V4,10,0.7836923076923077,0.09792307692307692,0.11838461538461538,0.08117688379017636,-0.016307692307692356
Chronos-LoRA-V4,20,0.7806666666666666,0.10155555555555555,0.11777777777777777,0.08107130374813763,-0.019333333333333425
