model,lead,observations,empirical_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-2,1,2000,0.7855,0.071,0.1435,0.08702525250404142,-0.014500000000000068
Chronos-2,2,1500,0.7706666666666667,0.11133333333333334,0.118,0.08822112226393074,-0.029333333333333322
Chronos-2,3,1500,0.8126666666666666,0.09066666666666667,0.09666666666666666,0.08819352755167832,0.012666666666666604
Chronos-2,4,1500,0.7973333333333333,0.096,0.10666666666666667,0.08801041701063514,-0.002666666666666706
Chronos-2,5,1500,0.7986666666666666,0.092,0.10933333333333334,0.08839643315722545,-0.0013333333333334085
Chronos-2,6,1000,0.798,0.083,0.119,0.08834586300887168,-0.0020000000000000018
Chronos-2,7,1000,0.833,0.074,0.093,0.08784979239152745,0.03299999999999992
Chronos-2,8,1000,0.802,0.1,0.098,0.08829635691316798,0.0020000000000000018
Chronos-2,9,1000,0.816,0.08,0.104,0.08918755202600732,0.015999999999999903
Chronos-2,10,1000,0.781,0.122,0.097,0.08941441455623135,-0.019000000000000017
Chronos-2,11,500,0.784,0.104,0.112,0.09016940974630415,-0.016000000000000014
Chronos-2,12,500,0.824,0.094,0.082,0.09010135621298104,0.02399999999999991
Chronos-2,13,500,0.782,0.122,0.096,0.08994777936022728,-0.018000000000000016
Chronos-2,14,500,0.802,0.082,0.116,0.0904336098562926,0.0020000000000000018
Chronos-2,15,500,0.816,0.086,0.098,0.08933134422544389,0.015999999999999903
Chronos-2,16,500,0.77,0.126,0.104,0.08956112300977111,-0.030000000000000027
Chronos-2,17,500,0.782,0.12,0.098,0.08855998264160007,-0.018000000000000016
Chronos-2,18,500,0.8,0.082,0.118,0.08950649295561015,0.0
Chronos-2,19,500,0.786,0.088,0.126,0.08935223991703242,-0.014000000000000012
Chronos-2,20,500,0.792,0.112,0.096,0.08891309883166104,-0.008000000000000007
Chronos-LoRA-V1,1,2000,0.797,0.073,0.13,0.0858038960576523,-0.0030000000000000027
Chronos-LoRA-V1,2,1500,0.7793333333333333,0.10866666666666666,0.112,0.08683838964284708,-0.020666666666666722
Chronos-LoRA-V1,3,1500,0.8186666666666667,0.08533333333333333,0.096,0.08673221301225324,0.01866666666666661
Chronos-LoRA-V1,4,1500,0.7973333333333333,0.10133333333333333,0.10133333333333333,0.08624535658024252,-0.002666666666666706
Chronos-LoRA-V1,5,1500,0.7973333333333333,0.09133333333333334,0.11133333333333334,0.0866589314447095,-0.002666666666666706
Chronos-LoRA-V1,6,1000,0.794,0.084,0.122,0.08645717336749657,-0.006000000000000005
Chronos-LoRA-V1,7,1000,0.814,0.082,0.104,0.0860310613065958,0.013999999999999901
Chronos-LoRA-V1,8,1000,0.799,0.102,0.099,0.08644605605909601,-0.0010000000000000009
Chronos-LoRA-V1,9,1000,0.804,0.085,0.111,0.08722632509516552,0.0040000000000000036
Chronos-LoRA-V1,10,1000,0.787,0.118,0.095,0.08729072791431099,-0.013000000000000012
Chronos-LoRA-V1,11,500,0.782,0.104,0.114,0.08807765936758369,-0.018000000000000016
Chronos-LoRA-V1,12,500,0.818,0.092,0.09,0.08807850197609514,0.017999999999999905
Chronos-LoRA-V1,13,500,0.788,0.122,0.09,0.08768807582370937,-0.01200000000000001
Chronos-LoRA-V1,14,500,0.802,0.08,0.118,0.08829035448469222,0.0020000000000000018
Chronos-LoRA-V1,15,500,0.814,0.084,0.102,0.08731524044182151,0.013999999999999901
Chronos-LoRA-V1,16,500,0.774,0.126,0.1,0.08777853796910494,-0.026000000000000023
Chronos-LoRA-V1,17,500,0.774,0.126,0.1,0.08662226896733045,-0.026000000000000023
Chronos-LoRA-V1,18,500,0.8,0.078,0.122,0.08741122536640614,0.0
Chronos-LoRA-V1,19,500,0.78,0.092,0.128,0.08715566532313823,-0.020000000000000018
Chronos-LoRA-V1,20,500,0.792,0.108,0.1,0.0865142129836604,-0.008000000000000007
Chronos-LoRA-V2,1,2000,0.78,0.08,0.14,0.08115831875591539,-0.020000000000000018
Chronos-LoRA-V2,2,1500,0.766,0.118,0.116,0.0817903875829652,-0.03400000000000003
Chronos-LoRA-V2,3,1500,0.8113333333333334,0.09,0.09866666666666667,0.08192703303663681,0.011333333333333306
Chronos-LoRA-V2,4,1500,0.7693333333333333,0.11933333333333333,0.11133333333333334,0.08085392057150602,-0.03066666666666673
Chronos-LoRA-V2,5,1500,0.786,0.094,0.12,0.08147258691955357,-0.014000000000000012
Chronos-LoRA-V2,6,1000,0.779,0.092,0.129,0.08100679466780275,-0.02100000000000002
Chronos-LoRA-V2,7,1000,0.804,0.092,0.104,0.07989858107967303,0.0040000000000000036
Chronos-LoRA-V2,8,1000,0.785,0.107,0.108,0.07985870828526094,-0.015000000000000013
Chronos-LoRA-V2,9,1000,0.782,0.094,0.124,0.08078293273411691,-0.018000000000000016
Chronos-LoRA-V2,10,1000,0.765,0.133,0.102,0.08090530877234414,-0.03500000000000003
Chronos-LoRA-V2,11,500,0.756,0.11,0.134,0.08113291026558728,-0.04400000000000004
Chronos-LoRA-V2,12,500,0.79,0.112,0.098,0.08112563570216298,-0.010000000000000009
Chronos-LoRA-V2,13,500,0.762,0.136,0.102,0.08166010575648397,-0.038000000000000034
Chronos-LoRA-V2,14,500,0.794,0.09,0.116,0.08240860050264746,-0.006000000000000005
Chronos-LoRA-V2,15,500,0.806,0.09,0.104,0.08144390933495015,0.006000000000000005
Chronos-LoRA-V2,16,500,0.756,0.134,0.11,0.08245953800715507,-0.04400000000000004
