ticker,model,actual_spikes,tp,fp,fn,precision,recall,f1
AAPL,Chronos-2,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V1,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V2,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V3,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V4,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V5,1,0,0,1,0.0,0.0,0.0
AMZN,Chronos-2,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V1,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V2,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V3,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V4,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V5,2,0,0,2,0.0,0.0,0.0
CVNA,Chronos-2,7,1,3,6,0.25,0.14285714285714285,0.18181818181818182
CVNA,Chronos-LoRA-V1,7,0,2,7,0.0,0.0,0.0
CVNA,Chronos-LoRA-V2,7,0,2,7,0.0,0.0,0.0
CVNA,Chronos-LoRA-V3,7,0,3,7,0.0,0.0,0.0
CVNA,Chronos-LoRA-V4,7,1,3,6,0.25,0.14285714285714285,0.18181818181818182
CVNA,Chronos-LoRA-V5,7,0,0,7,0.0,0.0,0.0
ENPH,Chronos-2,6,3,0,3,1.0,0.5,0.6666666666666666
ENPH,Chronos-LoRA-V1,6,3,0,3,1.0,0.5,0.6666666666666666
ENPH,Chronos-LoRA-V2,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
ENPH,Chronos-LoRA-V3,6,2,0,4,1.0,0.3333333333333333,0.5
ENPH,Chronos-LoRA-V4,6,1,1,5,0.5,0.16666666666666666,0.25
ENPH,Chronos-LoRA-V5,6,0,0,6,0.0,0.0,0.0
IONQ,Chronos-2,3,1,1,2,0.5,0.3333333333333333,0.4
IONQ,Chronos-LoRA-V1,3,1,1,2,0.5,0.3333333333333333,0.4
IONQ,Chronos-LoRA-V2,3,1,0,2,1.0,0.3333333333333333,0.5
IONQ,Chronos-LoRA-V3,3,1,0,2,1.0,0.3333333333333333,0.5
IONQ,Chronos-LoRA-V4,3,1,0,2,1.0,0.3333333333333333,0.5
IONQ,Chronos-LoRA-V5,3,0,0,3,0.0,0.0,0.0
MSFT,Chronos-2,3,1,0,2,1.0,0.3333333333333333,0.5
MSFT,Chronos-LoRA-V1,3,1,0,2,1.0,0.3333333333333333,0.5
MSFT,Chronos-LoRA-V2,3,0,0,3,0.0,0.0,0.0
MSFT,Chronos-LoRA-V3,3,0,0,3,0.0,0.0,0.0
MSFT,Chronos-LoRA-V4,3,0,0,3,0.0,0.0,0.0
MSFT,Chronos-LoRA-V5,3,0,0,3,0.0,0.0,0.0
NVDA,Chronos-2,5,0,1,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V1,5,0,1,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V2,5,0,0,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V3,5,0,1,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V4,5,0,0,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V5,5,0,0,5,0.0,0.0,0.0
PLUG,Chronos-2,5,2,1,3,0.6666666666666666,0.4,0.5
PLUG,Chronos-LoRA-V1,5,2,1,3,0.6666666666666666,0.4,0.5
PLUG,Chronos-LoRA-V2,5,2,1,3,0.6666666666666666,0.4,0.5
PLUG,Chronos-LoRA-V3,5,2,1,3,0.6666666666666666,0.4,0.5
PLUG,Chronos-LoRA-V4,5,2,2,3,0.5,0.4,0.4444444444444445
PLUG,Chronos-LoRA-V5,5,0,0,5,0.0,0.0,0.0
RKLB,Chronos-2,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V1,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V2,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V3,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V4,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V5,3,0,0,3,0.0,0.0,0.0
SMCI,Chronos-2,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V1,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V2,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V3,4,0,2,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V4,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V5,4,0,0,4,0.0,0.0,0.0
