horizon,model,model_type,stocks,observations,avg_price_mae,median_stock_mae,avg_return_abs_error,avg_directional_accuracy
1,Chronos-2,chronos_pretrained,10,500,1.2148099385661109,1.2128066188043973,0.029716937991251725,0.532
1,Chronos-LoRA-V1,chronos_lora,10,500,1.215724044920116,1.2140328522347459,0.02966151452366811,0.526
1,Chronos-LoRA-V2,chronos_lora,10,500,1.2107319409850152,1.2126881875858246,0.029521485352146236,0.558
1,Chronos-LoRA-V3,chronos_lora,10,500,1.210239922244169,1.2141423583031274,0.029549118342825188,0.55
1,Chronos-LoRA-V4,chronos_lora,10,500,1.2163693017474038,1.2178904889809452,0.02961562615044889,0.534
1,Chronos-LoRA-V5,chronos_lora,10,0,,,,
5,Chronos-2,chronos_pretrained,10,500,2.7072598185609196,2.636072282757649,0.06487217100937141,0.54
5,Chronos-LoRA-V1,chronos_lora,10,500,2.716563028434223,2.6315347798688045,0.06490161865931299,0.548
5,Chronos-LoRA-V2,chronos_lora,10,500,2.742337871276645,2.699891103382412,0.06511675305029749,0.546
5,Chronos-LoRA-V3,chronos_lora,10,500,2.72580443424733,2.6531082584734498,0.06494476110937021,0.546
5,Chronos-LoRA-V4,chronos_lora,10,500,2.742492378389509,2.668344567877875,0.06504811816607503,0.5599999999999999
5,Chronos-LoRA-V5,chronos_lora,10,0,,,,
10,Chronos-2,chronos_pretrained,10,500,3.8407252942002343,3.534603943905285,0.09335443423271421,0.5599999999999999
10,Chronos-LoRA-V1,chronos_lora,10,500,3.835940215867562,3.4999109948083573,0.09303266905602688,0.5660000000000001
10,Chronos-LoRA-V2,chronos_lora,10,500,3.871531189604793,3.5236344338763086,0.09245800571656734,0.576
10,Chronos-LoRA-V3,chronos_lora,10,500,3.8475114267590653,3.512360133343583,0.09265273667149235,0.572
10,Chronos-LoRA-V4,chronos_lora,10,500,3.85447133304078,3.4946273060156394,0.09253354681272699,0.5720000000000001
10,Chronos-LoRA-V5,chronos_lora,10,0,,,,
20,Chronos-2,chronos_pretrained,10,500,5.530670278310813,5.627063660132458,0.1414145843811058,0.588
20,Chronos-LoRA-V1,chronos_lora,10,500,5.515498981488936,5.599964569543265,0.14092958103608502,0.5860000000000001
20,Chronos-LoRA-V2,chronos_lora,10,500,5.542672512005005,5.568213773939883,0.13968610301572232,0.5780000000000001
20,Chronos-LoRA-V3,chronos_lora,10,500,5.531741004707305,5.5575946848733535,0.14015084296372574,0.5780000000000001
20,Chronos-LoRA-V4,chronos_lora,10,500,5.533337545361108,5.560999979787756,0.13978917529684212,0.584
20,Chronos-LoRA-V5,chronos_lora,10,0,,,,
