model,horizon,mean_marginal_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-2,1,0.789,0.086,0.125,0.08666143644903787,-0.01100000000000001
Chronos-2,5,0.795625,0.097125,0.10725,0.08725801993289496,-0.004375000000000018
Chronos-2,10,0.7996153846153846,0.09453846153846154,0.10584615384615384,0.08741538234821593,-0.00038461538461542766
Chronos-2,20,0.7978888888888889,0.09738888888888889,0.10472222222222222,0.08775765759076198,-0.0021111111111111747
Chronos-LoRA-V1,1,0.7835,0.089,0.1275,0.08606412903848104,-0.01650000000000007
Chronos-LoRA-V1,5,0.797875,0.094875,0.10725,0.08649633834057022,-0.0021250000000000435
Chronos-LoRA-V1,10,0.8011538461538461,0.09307692307692307,0.10576923076923077,0.08653456037487978,0.001153846153846061
Chronos-LoRA-V1,20,0.7988333333333333,0.09594444444444444,0.10522222222222222,0.08676248889672569,-0.0011666666666667602
Chronos-LoRA-V2,1,0.785,0.0875,0.1275,0.08237277030246332,-0.015000000000000013
Chronos-LoRA-V2,5,0.7875,0.10125,0.11125,0.08267050802370067,-0.012500000000000067
Chronos-LoRA-V2,10,0.7874615384615384,0.10092307692307692,0.11161538461538462,0.08231877198453563,-0.01253846153846161
Chronos-LoRA-V2,20,0.7843888888888889,0.104,0.1116111111111111,0.08245214479157909,-0.015611111111111131
Chronos-LoRA-V3,1,0.78,0.092,0.128,0.08376749471994117,-0.020000000000000018
Chronos-LoRA-V3,5,0.789625,0.100625,0.10975,0.08386797882593237,-0.010375000000000023
Chronos-LoRA-V3,10,0.7928461538461539,0.0983076923076923,0.10884615384615384,0.08400633993390232,-0.007153846153846177
Chronos-LoRA-V3,20,0.7902222222222223,0.10161111111111111,0.10816666666666666,0.08417900408287016,-0.009777777777777774
Chronos-LoRA-V4,1,0.7945,0.0795,0.126,0.0835228428915143,-0.00550000000000006
Chronos-LoRA-V4,5,0.791125,0.09625,0.112625,0.0827126030792715,-0.008875000000000077
Chronos-LoRA-V4,10,0.7901538461538462,0.09738461538461539,0.11246153846153846,0.08230072650048309,-0.009846153846153838
Chronos-LoRA-V4,20,0.7866111111111111,0.10027777777777777,0.1131111111111111,0.08229261632030829,-0.013388888888888895
Chronos-LoRA-V5,1,0.769,0.082,0.149,0.08154440399911254,-0.031000000000000028
Chronos-LoRA-V5,5,0.77425,0.10125,0.1245,0.08144454188772943,-0.02575000000000005
Chronos-LoRA-V5,10,0.777,0.10115384615384615,0.12184615384615384,0.08116814723299243,-0.02300000000000002
Chronos-LoRA-V5,20,0.7736111111111111,0.1055,0.12088888888888889,0.08082758523446197,-0.026388888888888906
