model,lead,observations,empirical_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-2,1,2000,0.789,0.086,0.125,0.08666143644903787,-0.01100000000000001
Chronos-2,2,1500,0.7913333333333333,0.10733333333333334,0.10133333333333333,0.08764600255619734,-0.008666666666666711
Chronos-2,3,1500,0.82,0.09133333333333334,0.08866666666666667,0.08761753695613395,0.019999999999999907
Chronos-2,4,1500,0.788,0.11333333333333333,0.09866666666666667,0.08729187264479697,-0.01200000000000001
Chronos-2,5,1500,0.792,0.09133333333333334,0.11666666666666667,0.08727211221959442,-0.008000000000000007
Chronos-2,6,1000,0.793,0.079,0.128,0.08704788755113259,-0.007000000000000006
Chronos-2,7,1000,0.827,0.075,0.098,0.08699676784547046,0.026999999999999913
Chronos-2,8,1000,0.801,0.101,0.098,0.08790364653011784,0.0010000000000000009
Chronos-2,9,1000,0.814,0.08,0.106,0.08816280849650503,0.013999999999999901
Chronos-2,10,1000,0.795,0.117,0.088,0.08822470064042136,-0.0050000000000000044
Chronos-2,11,500,0.776,0.112,0.112,0.08858725500851869,-0.02400000000000002
Chronos-2,12,500,0.818,0.1,0.082,0.0887003578953445,0.017999999999999905
Chronos-2,13,500,0.798,0.122,0.08,0.08909271118510514,-0.0020000000000000018
Chronos-2,14,500,0.808,0.086,0.106,0.08965135812293738,0.008000000000000007
Chronos-2,15,500,0.808,0.092,0.1,0.08880599817167968,0.008000000000000007
Chronos-2,16,500,0.768,0.13,0.102,0.08913115624058991,-0.03200000000000003
Chronos-2,17,500,0.78,0.118,0.102,0.08788157915044575,-0.020000000000000018
Chronos-2,18,500,0.808,0.078,0.114,0.08818317950796337,0.008000000000000007
Chronos-2,19,500,0.776,0.098,0.126,0.08821577297057956,-0.02400000000000002
Chronos-2,20,500,0.794,0.112,0.094,0.08822636396065354,-0.006000000000000005
Chronos-LoRA-V1,1,2000,0.7835,0.089,0.1275,0.08606412903848104,-0.01650000000000007
Chronos-LoRA-V1,2,1500,0.8006666666666666,0.10066666666666667,0.09866666666666667,0.08700420434089999,0.0006666666666665932
Chronos-LoRA-V1,3,1500,0.8253333333333334,0.08866666666666667,0.086,0.08685767762207737,0.02533333333333332
Chronos-LoRA-V1,4,1500,0.79,0.108,0.102,0.08623379569811125,-0.010000000000000009
Chronos-LoRA-V1,5,1500,0.7946666666666666,0.09,0.11533333333333333,0.0864659547706445,-0.005333333333333412
Chronos-LoRA-V1,6,1000,0.796,0.079,0.125,0.08610858746431768,-0.0040000000000000036
Chronos-LoRA-V1,7,1000,0.827,0.073,0.1,0.08599187442380934,0.026999999999999913
Chronos-LoRA-V1,8,1000,0.801,0.104,0.095,0.08669660690007731,0.0010000000000000009
Chronos-LoRA-V1,9,1000,0.814,0.078,0.108,0.08710503290360794,0.013999999999999901
Chronos-LoRA-V1,10,1000,0.794,0.117,0.089,0.08707647645706311,-0.006000000000000005
Chronos-LoRA-V1,11,500,0.774,0.116,0.11,0.08762898360937833,-0.026000000000000023
Chronos-LoRA-V1,12,500,0.814,0.102,0.084,0.08769133695680648,0.013999999999999901
Chronos-LoRA-V1,13,500,0.788,0.124,0.088,0.0876979035064578,-0.01200000000000001
Chronos-LoRA-V1,14,500,0.804,0.086,0.11,0.08825025639124215,0.0040000000000000036
Chronos-LoRA-V1,15,500,0.812,0.084,0.104,0.08734561302512885,0.01200000000000001
Chronos-LoRA-V1,16,500,0.772,0.124,0.104,0.08786507644318044,-0.028000000000000025
Chronos-LoRA-V1,17,500,0.782,0.118,0.1,0.08665953583642841,-0.018000000000000016
Chronos-LoRA-V1,18,500,0.81,0.072,0.118,0.0869789518006146,0.010000000000000009
Chronos-LoRA-V1,19,500,0.78,0.096,0.124,0.08689261479768902,-0.020000000000000018
Chronos-LoRA-V1,20,500,0.792,0.112,0.096,0.08654075816832482,-0.008000000000000007
