horizon,model,model_type,stocks,observations,avg_price_mae,median_stock_mae,avg_return_abs_error,avg_directional_accuracy
1,ARIMA,statistical_ml,10,500,1.242182244908891,1.2200121462739981,0.029825676520404798,0.492
1,Chronos-2,chronos_pretrained,10,500,1.224958325239921,1.2272212108666942,0.029888792850962624,0.52
1,Chronos-LoRA-V1,chronos_lora,10,500,1.222369544756859,1.2250076519455528,0.029854672089285144,0.518
1,Chronos-LoRA-V2,chronos_lora,10,500,1.2140013934049865,1.2208944251516876,0.02975212268570233,0.534
1,Chronos-LoRA-V3,chronos_lora,10,500,1.214599566970262,1.221475223103876,0.029742941610906702,0.524
1,Chronos-LoRA-V4,chronos_lora,10,500,1.219466343890654,1.2258297674078282,0.029860587785053582,0.49000000000000005
1,Chronos-LoRA-V5,chronos_lora,10,500,1.2097097294023555,1.2124191299168579,0.029569073559280852,0.538
1,EGARCH,statistical_ml,10,500,1.2191468110487305,1.2102799061255014,0.029569075671321072,0.562
1,ETS,statistical_ml,10,500,1.2324319840485873,1.2164092017823465,0.029916189821483162,0.488
1,GARCH,statistical_ml,10,500,1.2163914329096788,1.2082640491359027,0.029554729071448772,0.55
1,GJR-GARCH,statistical_ml,10,500,1.2183814362371188,1.2103220642791608,0.029580178723963874,0.56
1,LightGBM,statistical_ml,10,500,1.4527762124238257,1.5809297091129153,0.03518431124663452,0.44399999999999995
1,Naive,statistical_ml,10,500,1.2294526450037946,1.2186450779438007,0.029640430711460136,0.01
1,VAR,statistical_ml,10,0,,,,
1,XGBoost,statistical_ml,10,500,1.4351433880120195,1.4227060461739467,0.03544854448144824,0.4600000000000001
5,ARIMA,statistical_ml,10,500,2.7226180629018293,2.589629329925736,0.0648066999874338,0.52
5,Chronos-2,chronos_pretrained,10,500,2.739388949098035,2.6924640932942685,0.0648198170909447,0.558
5,Chronos-LoRA-V1,chronos_lora,10,500,2.733226167497053,2.678390638271905,0.06492553254271557,0.554
5,Chronos-LoRA-V2,chronos_lora,10,500,2.748039472610319,2.772546795463926,0.0654487778455849,0.546
5,Chronos-LoRA-V3,chronos_lora,10,500,2.7385679489484906,2.718989573584681,0.06504770389027502,0.548
5,Chronos-LoRA-V4,chronos_lora,10,500,2.746742468339987,2.73836364481706,0.06542968793094349,0.542
5,Chronos-LoRA-V5,chronos_lora,10,500,2.708899497884206,2.6355765157164566,0.06488056971723326,0.562
5,EGARCH,statistical_ml,10,0,,,,
5,ETS,statistical_ml,10,500,2.710776564116827,2.58829400759974,0.06452038255885091,0.524
5,GARCH,statistical_ml,10,500,2.6782544029999475,2.609594911655207,0.06439468406734572,0.558
5,GJR-GARCH,statistical_ml,10,500,2.6847804733220313,2.608947160461449,0.06451823081019525,0.5519999999999999
