model_a,model_b,comparisons,model_a_wins,model_b_wins,ties
ARIMA,Chronos-2,40,25,15,0
ARIMA,Chronos-LoRA-V1,40,25,15,0
ARIMA,Chronos-LoRA-V2,40,23,17,0
ARIMA,Chronos-LoRA-V3,40,23,17,0
ARIMA,Chronos-LoRA-V4,40,25,15,0
ARIMA,Chronos-LoRA-V5,40,18,22,0
ARIMA,EGARCH,10,1,9,0
ARIMA,ETS,40,19,21,0
ARIMA,GARCH,40,13,27,0
ARIMA,GJR-GARCH,40,13,27,0
ARIMA,LightGBM,40,36,4,0
ARIMA,Naive,40,15,25,0
ARIMA,XGBoost,40,33,7,0
Chronos-2,Chronos-LoRA-V1,40,14,26,0
Chronos-2,Chronos-LoRA-V2,40,16,24,0
Chronos-2,Chronos-LoRA-V3,40,15,25,0
Chronos-2,Chronos-LoRA-V4,40,16,24,0
Chronos-2,Chronos-LoRA-V5,40,10,30,0
Chronos-2,EGARCH,10,3,7,0
Chronos-2,ETS,40,16,24,0
Chronos-2,GARCH,40,8,32,0
Chronos-2,GJR-GARCH,40,9,31,0
Chronos-2,LightGBM,40,37,3,0
Chronos-2,Naive,40,16,24,0
Chronos-2,XGBoost,40,35,5,0
Chronos-LoRA-V1,Chronos-LoRA-V2,40,20,20,0
Chronos-LoRA-V1,Chronos-LoRA-V3,40,18,22,0
Chronos-LoRA-V1,Chronos-LoRA-V4,40,20,20,0
Chronos-LoRA-V1,Chronos-LoRA-V5,40,8,32,0
Chronos-LoRA-V1,EGARCH,10,4,6,0
Chronos-LoRA-V1,ETS,40,16,24,0
Chronos-LoRA-V1,GARCH,40,9,31,0
Chronos-LoRA-V1,GJR-GARCH,40,10,30,0
Chronos-LoRA-V1,LightGBM,40,38,2,0
Chronos-LoRA-V1,Naive,40,16,24,0
Chronos-LoRA-V1,XGBoost,40,36,4,0
Chronos-LoRA-V2,Chronos-LoRA-V3,40,16,24,0
Chronos-LoRA-V2,Chronos-LoRA-V4,40,23,17,0
Chronos-LoRA-V2,Chronos-LoRA-V5,40,9,31,0
Chronos-LoRA-V2,EGARCH,10,5,5,0
Chronos-LoRA-V2,ETS,40,17,23,0
Chronos-LoRA-V2,GARCH,40,11,29,0
Chronos-LoRA-V2,GJR-GARCH,40,13,27,0
Chronos-LoRA-V2,LightGBM,40,37,3,0
Chronos-LoRA-V2,Naive,40,16,24,0
Chronos-LoRA-V2,XGBoost,40,37,3,0
Chronos-LoRA-V3,Chronos-LoRA-V4,40,24,16,0
Chronos-LoRA-V3,Chronos-LoRA-V5,40,10,30,0
Chronos-LoRA-V3,EGARCH,10,4,6,0
Chronos-LoRA-V3,ETS,40,17,23,0
Chronos-LoRA-V3,GARCH,40,10,30,0
Chronos-LoRA-V3,GJR-GARCH,40,11,29,0
Chronos-LoRA-V3,LightGBM,40,37,3,0
Chronos-LoRA-V3,Naive,40,16,24,0
Chronos-LoRA-V3,XGBoost,40,37,3,0
Chronos-LoRA-V4,Chronos-LoRA-V5,40,7,33,0
Chronos-LoRA-V4,EGARCH,10,4,6,0
Chronos-LoRA-V4,ETS,40,17,23,0
Chronos-LoRA-V4,GARCH,40,9,31,0
Chronos-LoRA-V4,GJR-GARCH,40,10,30,0
Chronos-LoRA-V4,LightGBM,40,37,3,0
Chronos-LoRA-V4,Naive,40,16,24,0
Chronos-LoRA-V4,XGBoost,40,36,4,0
Chronos-LoRA-V5,EGARCH,10,6,4,0
Chronos-LoRA-V5,ETS,40,20,20,0
Chronos-LoRA-V5,GARCH,40,15,25,0
Chronos-LoRA-V5,GJR-GARCH,40,17,23,0
Chronos-LoRA-V5,LightGBM,40,37,3,0
Chronos-LoRA-V5,Naive,40,20,20,0
Chronos-LoRA-V5,XGBoost,40,37,3,0
EGARCH,ETS,10,9,1,0
EGARCH,GARCH,10,2,8,0
EGARCH,GJR-GARCH,10,3,7,0
EGARCH,LightGBM,10,10,0,0
EGARCH,Naive,10,6,4,0
EGARCH,XGBoost,10,9,1,0
ETS,GARCH,40,9,31,0
ETS,GJR-GARCH,40,9,31,0
ETS,LightGBM,40,35,5,0
ETS,Naive,40,22,18,0
ETS,XGBoost,40,33,7,0
GARCH,GJR-GARCH,40,28,12,0
GARCH,LightGBM,40,38,2,0
GARCH,Naive,40,25,15,0
GARCH,XGBoost,40,36,4,0
GJR-GARCH,LightGBM,40,38,2,0
GJR-GARCH,Naive,40,25,15,0
GJR-GARCH,XGBoost,40,35,5,0
LightGBM,Naive,40,4,36,0
LightGBM,XGBoost,40,9,31,0
Naive,XGBoost,40,33,7,0
