model,horizon,comparisons,wins,losses,ties,win_rate_excluding_ties
ARIMA,1,25000,12478,12522,0,0.49912
ARIMA,5,25000,12434,12566,0,0.49736
ARIMA,10,25000,12331,12669,0,0.49324
ARIMA,20,25000,12497,12503,0,0.49988
Chronos-2,1,25000,12431,12569,0,0.49724
Chronos-2,5,25000,12536,12464,0,0.50144
Chronos-2,10,25000,12359,12641,0,0.49436
Chronos-2,20,25000,12429,12571,0,0.49716
Chronos-LoRA-V1,1,25000,12405,12595,0,0.4962
Chronos-LoRA-V1,5,25000,12479,12521,0,0.49916
Chronos-LoRA-V1,10,25000,12375,12625,0,0.495
Chronos-LoRA-V1,20,25000,12528,12472,0,0.50112
Chronos-LoRA-V2,1,25000,12441,12559,0,0.49764
Chronos-LoRA-V2,5,25000,12323,12677,0,0.49292
Chronos-LoRA-V2,10,25000,12397,12603,0,0.49588
Chronos-LoRA-V2,20,25000,12576,12424,0,0.50304
Chronos-LoRA-V3,1,25000,12458,12542,0,0.49832
Chronos-LoRA-V3,5,25000,12402,12598,0,0.49608
Chronos-LoRA-V3,10,25000,12378,12622,0,0.49512
Chronos-LoRA-V3,20,25000,12581,12419,0,0.50324
Chronos-LoRA-V4,1,25000,12389,12611,0,0.49556
Chronos-LoRA-V4,5,25000,12333,12667,0,0.49332
Chronos-LoRA-V4,10,25000,12320,12680,0,0.4928
Chronos-LoRA-V4,20,25000,12615,12385,0,0.5046
Chronos-LoRA-V5,1,25000,12505,12495,0,0.5002
Chronos-LoRA-V5,5,25000,12357,12643,0,0.49428
Chronos-LoRA-V5,10,25000,12367,12633,0,0.49468
Chronos-LoRA-V5,20,25000,12583,12417,0,0.50332
EGARCH,1,25000,12472,12528,0,0.49888
ETS,1,25000,12446,12554,0,0.49784
ETS,5,25000,12476,12524,0,0.49904
ETS,10,25000,12371,12629,0,0.49484
ETS,20,25000,12488,12512,0,0.49952
GJR-GARCH,1,25000,12463,12537,0,0.49852
GJR-GARCH,5,25000,12442,12558,0,0.49768
GJR-GARCH,10,25000,12434,12566,0,0.49736
GJR-GARCH,20,25000,12450,12550,0,0.498
LightGBM,1,25000,11663,13337,0,0.46652
LightGBM,5,25000,11646,13354,0,0.46584
LightGBM,10,25000,11257,13743,0,0.45028
LightGBM,20,25000,11108,13892,0,0.44432
Naive,1,25000,12542,12458,0,0.50168
Naive,5,25000,12437,12563,0,0.49748
Naive,10,25000,12357,12643,0,0.49428
Naive,20,25000,12517,12483,0,0.50068
XGBoost,1,25000,11763,13237,0,0.47052
XGBoost,5,25000,11649,13351,0,0.46596
XGBoost,10,25000,11387,13613,0,0.45548
XGBoost,20,25000,10975,14025,0,0.439
