horizon,model,observations,p10_breach_rate,p90_breach_rate,interval_coverage,mean_interval_width
1,Chronos-LoRA-V1,500,0.074,0.13,0.796,3.4448296496020214
1,Chronos-LoRA-V2,500,0.08,0.14,0.78,3.2727689420632644
1,Chronos-LoRA-V3,500,0.082,0.134,0.784,3.3192004992608526
1,Chronos-LoRA-V4,500,0.074,0.144,0.782,3.3072680038675597
5,Chronos-LoRA-V1,500,0.006,0.008,0.986,17.619698473609898
5,Chronos-LoRA-V2,500,0.008,0.008,0.984,16.709376806475266
5,Chronos-LoRA-V3,500,0.008,0.008,0.984,16.90947510044366
5,Chronos-LoRA-V4,500,0.008,0.008,0.984,16.61229717280799
10,Chronos-LoRA-V1,500,0.002,0.006,0.992,36.686456112077764
10,Chronos-LoRA-V2,500,0.002,0.006,0.992,34.46948679084306
10,Chronos-LoRA-V3,500,0.002,0.006,0.992,35.20346996786456
10,Chronos-LoRA-V4,500,0.004,0.006,0.99,34.111770043062066
20,Chronos-LoRA-V1,500,0.0,0.0,1.0,86.08836920991064
20,Chronos-LoRA-V2,500,0.0,0.0,1.0,78.58364955412742
20,Chronos-LoRA-V3,500,0.0,0.0,1.0,81.43250206987373
20,Chronos-LoRA-V4,500,0.0,0.0,1.0,77.01637259430304
