ticker,model,actual_spikes,tp,fp,fn,precision,recall,f1
AAPL,Chronos-LoRA-V1,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V2,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V3,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V4,1,0,0,1,0.0,0.0,0.0
AAPL,XGBoost,1,0,0,1,0.0,0.0,0.0
AMZN,Chronos-LoRA-V1,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V2,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V3,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V4,2,0,2,2,0.0,0.0,0.0
AMZN,XGBoost,2,0,0,2,0.0,0.0,0.0
CVNA,Chronos-LoRA-V1,6,0,3,6,0.0,0.0,0.0
CVNA,Chronos-LoRA-V2,6,1,3,5,0.25,0.16666666666666666,0.2
CVNA,Chronos-LoRA-V3,6,0,3,6,0.0,0.0,0.0
CVNA,Chronos-LoRA-V4,6,1,4,5,0.2,0.16666666666666666,0.1818181818181818
CVNA,XGBoost,6,0,1,6,0.0,0.0,0.0
ENPH,Chronos-LoRA-V1,6,3,0,3,1.0,0.5,0.6666666666666666
ENPH,Chronos-LoRA-V2,6,2,0,4,1.0,0.3333333333333333,0.5
ENPH,Chronos-LoRA-V3,6,2,0,4,1.0,0.3333333333333333,0.5
ENPH,Chronos-LoRA-V4,6,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444
ENPH,XGBoost,6,0,1,6,0.0,0.0,0.0
IONQ,Chronos-LoRA-V1,4,1,0,3,1.0,0.25,0.4
IONQ,Chronos-LoRA-V2,4,1,0,3,1.0,0.25,0.4
IONQ,Chronos-LoRA-V3,4,1,0,3,1.0,0.25,0.4
IONQ,Chronos-LoRA-V4,4,1,0,3,1.0,0.25,0.4
IONQ,XGBoost,4,0,1,4,0.0,0.0,0.0
MSFT,Chronos-LoRA-V1,3,1,0,2,1.0,0.3333333333333333,0.5
MSFT,Chronos-LoRA-V2,3,0,0,3,0.0,0.0,0.0
MSFT,Chronos-LoRA-V3,3,1,0,2,1.0,0.3333333333333333,0.5
MSFT,Chronos-LoRA-V4,3,0,0,3,0.0,0.0,0.0
MSFT,XGBoost,3,0,0,3,0.0,0.0,0.0
NVDA,Chronos-LoRA-V1,5,0,1,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V2,5,0,0,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V3,5,0,1,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V4,5,0,0,5,0.0,0.0,0.0
NVDA,XGBoost,5,0,1,5,0.0,0.0,0.0
PLUG,Chronos-LoRA-V1,4,1,2,3,0.3333333333333333,0.25,0.28571428571428575
PLUG,Chronos-LoRA-V2,4,1,2,3,0.3333333333333333,0.25,0.28571428571428575
PLUG,Chronos-LoRA-V3,4,1,2,3,0.3333333333333333,0.25,0.28571428571428575
PLUG,Chronos-LoRA-V4,4,1,3,3,0.25,0.25,0.25
PLUG,XGBoost,4,0,1,4,0.0,0.0,0.0
RKLB,Chronos-LoRA-V1,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V2,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V3,3,0,0,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V4,3,0,0,3,0.0,0.0,0.0
RKLB,XGBoost,3,0,0,3,0.0,0.0,0.0
SMCI,Chronos-LoRA-V1,4,0,2,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V2,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V3,4,0,2,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V4,4,0,1,4,0.0,0.0,0.0
SMCI,XGBoost,4,1,0,3,1.0,0.25,0.4
