model,horizon,observations,mean_marginal_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-LoRA-V1,1,2000,0.7835,0.089,0.1275,0.08606412903848104,-0.01650000000000007
Chronos-LoRA-V1,5,8000,0.797875,0.094875,0.10725,0.08649633834057022,-0.0021250000000000435
Chronos-LoRA-V1,10,13000,0.8011538461538461,0.09307692307692307,0.10576923076923077,0.08653456037487978,0.001153846153846061
Chronos-LoRA-V1,20,18000,0.7988333333333333,0.09594444444444444,0.10522222222222222,0.08676248889672569,-0.0011666666666667602
Chronos-LoRA-V2,1,2000,0.785,0.0875,0.1275,0.08237277030246332,-0.015000000000000013
Chronos-LoRA-V2,5,8000,0.7875,0.10125,0.11125,0.08267050802370067,-0.012500000000000067
Chronos-LoRA-V2,10,13000,0.7874615384615384,0.10092307692307692,0.11161538461538462,0.08231877198453563,-0.01253846153846161
Chronos-LoRA-V2,20,18000,0.7843888888888889,0.104,0.1116111111111111,0.08245214479157909,-0.015611111111111131
Chronos-LoRA-V3,1,2000,0.78,0.092,0.128,0.08376749471994117,-0.020000000000000018
Chronos-LoRA-V3,5,8000,0.789625,0.100625,0.10975,0.08386797882593237,-0.010375000000000023
Chronos-LoRA-V3,10,13000,0.7928461538461539,0.0983076923076923,0.10884615384615384,0.08400633993390232,-0.007153846153846177
Chronos-LoRA-V3,20,18000,0.7902222222222223,0.10161111111111111,0.10816666666666666,0.08417900408287016,-0.009777777777777774
Chronos-LoRA-V4,1,2000,0.7945,0.0795,0.126,0.0835228428915143,-0.00550000000000006
Chronos-LoRA-V4,5,8000,0.791125,0.09625,0.112625,0.0827126030792715,-0.008875000000000077
Chronos-LoRA-V4,10,13000,0.7901538461538462,0.09738461538461539,0.11246153846153846,0.08230072650048309,-0.009846153846153838
Chronos-LoRA-V4,20,18000,0.7866111111111111,0.10027777777777777,0.1131111111111111,0.08229261632030829,-0.013388888888888895
