ticker,model,actual_spikes,tp,fp,fn,precision,recall,f1
AAPL,Chronos-LoRA-V1,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V2,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V3,1,0,0,1,0.0,0.0,0.0
AAPL,Chronos-LoRA-V4,1,0,0,1,0.0,0.0,0.0
AMZN,Chronos-LoRA-V1,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V2,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V3,2,0,2,2,0.0,0.0,0.0
AMZN,Chronos-LoRA-V4,2,0,2,2,0.0,0.0,0.0
CVNA,Chronos-LoRA-V1,7,1,1,6,0.5,0.14285714285714285,0.22222222222222224
CVNA,Chronos-LoRA-V2,7,1,1,6,0.5,0.14285714285714285,0.22222222222222224
CVNA,Chronos-LoRA-V3,7,1,1,6,0.5,0.14285714285714285,0.22222222222222224
CVNA,Chronos-LoRA-V4,7,1,2,6,0.3333333333333333,0.14285714285714285,0.2
ENPH,Chronos-LoRA-V1,6,2,0,4,1.0,0.3333333333333333,0.5
ENPH,Chronos-LoRA-V2,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
ENPH,Chronos-LoRA-V3,6,2,0,4,1.0,0.3333333333333333,0.5
ENPH,Chronos-LoRA-V4,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
IONQ,Chronos-LoRA-V1,3,1,0,2,1.0,0.3333333333333333,0.5
IONQ,Chronos-LoRA-V2,3,1,0,2,1.0,0.3333333333333333,0.5
IONQ,Chronos-LoRA-V3,3,1,0,2,1.0,0.3333333333333333,0.5
IONQ,Chronos-LoRA-V4,3,1,0,2,1.0,0.3333333333333333,0.5
MSFT,Chronos-LoRA-V1,3,0,2,3,0.0,0.0,0.0
MSFT,Chronos-LoRA-V2,3,0,0,3,0.0,0.0,0.0
MSFT,Chronos-LoRA-V3,3,0,1,3,0.0,0.0,0.0
MSFT,Chronos-LoRA-V4,3,0,0,3,0.0,0.0,0.0
NVDA,Chronos-LoRA-V1,5,0,0,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V2,5,0,0,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V3,5,0,0,5,0.0,0.0,0.0
NVDA,Chronos-LoRA-V4,5,0,0,5,0.0,0.0,0.0
PLUG,Chronos-LoRA-V1,5,2,0,3,1.0,0.4,0.5714285714285715
PLUG,Chronos-LoRA-V2,5,2,0,3,1.0,0.4,0.5714285714285715
PLUG,Chronos-LoRA-V3,5,2,0,3,1.0,0.4,0.5714285714285715
PLUG,Chronos-LoRA-V4,5,2,1,3,0.6666666666666666,0.4,0.5
RKLB,Chronos-LoRA-V1,3,0,1,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V2,3,0,1,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V3,3,0,1,3,0.0,0.0,0.0
RKLB,Chronos-LoRA-V4,3,0,1,3,0.0,0.0,0.0
SMCI,Chronos-LoRA-V1,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V2,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V3,4,0,1,4,0.0,0.0,0.0
SMCI,Chronos-LoRA-V4,4,0,1,4,0.0,0.0,0.0
