ticker,horizon,model,model_type,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
AAPL,1,ARIMA,statistical_ml,200,1.081676392320915,0.6207401668022374,0.012055893530241703,0.42
AAPL,1,Chronos-LoRA-V1,chronos_lora,50,1.0739009166245688,0.5894836308204017,0.01183203095855928,0.58
AAPL,1,Chronos-LoRA-V2,chronos_lora,50,1.060412458532646,0.5729253581978799,0.011719340252550543,0.6
AAPL,1,Chronos-LoRA-V3,chronos_lora,50,1.0657555511971075,0.5719552514652406,0.011739652720425462,0.6
AAPL,1,Chronos-LoRA-V4,chronos_lora,50,1.0628663862296035,0.5443016857803631,0.011799683708059908,0.52
AAPL,1,EGARCH,statistical_ml,200,1.0615025581943527,0.5849702397978653,0.011667423853896774,0.62
AAPL,1,ETS,statistical_ml,200,1.0670383126022875,0.6050423457966367,0.011823134006523699,0.46
AAPL,1,GARCH,statistical_ml,200,1.058823514320892,0.5909460451401412,0.011617953798534118,0.62
AAPL,1,GJR-GARCH,statistical_ml,200,1.0606092512872982,0.5804794754514759,0.011649033837331173,0.62
AAPL,1,LightGBM,statistical_ml,200,1.1788996237749716,0.5275797493357786,0.012852455823054847,0.48
AAPL,1,Naive,statistical_ml,200,1.0765672874450665,0.617242813110348,0.011966747583068493,
AAPL,1,VAR,statistical_ml,0,,,,
AAPL,1,XGBoost,statistical_ml,200,1.1105712798086091,0.39866877077781027,0.01259784386710106,0.48
AAPL,5,ARIMA,statistical_ml,200,2.916367805247442,1.0199599484029704,0.028768097911276394,0.54
AAPL,5,Chronos-LoRA-V1,chronos_lora,50,2.954032789447039,1.153761626037097,0.027930022851678005,0.56
AAPL,5,Chronos-LoRA-V2,chronos_lora,50,2.9355917159254417,1.1314814483760767,0.027808296107750822,0.58
AAPL,5,Chronos-LoRA-V3,chronos_lora,50,2.953160461044256,1.1402933301088183,0.027858594022812974,0.58
AAPL,5,Chronos-LoRA-V4,chronos_lora,50,2.94155142518845,1.1283833107803627,0.02818653736029795,0.56
AAPL,5,EGARCH,statistical_ml,0,,,,
AAPL,5,ETS,statistical_ml,200,2.8746184031744297,1.100793384892242,0.0281852061102538,0.56
AAPL,5,GARCH,statistical_ml,200,2.908317909597214,1.1161891634904322,0.02766542847871737,0.62
AAPL,5,GJR-GARCH,statistical_ml,200,2.9075468913629106,1.1261411514101258,0.027731476043986323,0.62
AAPL,5,LightGBM,statistical_ml,200,3.2826139866912625,1.3009851409984314,0.03237083609834898,0.54
AAPL,5,Naive,statistical_ml,200,2.9244099998474113,1.084907531738267,0.028822055126631514,
AAPL,5,VAR,statistical_ml,0,,,,
AAPL,5,XGBoost,statistical_ml,200,3.5326135994949754,0.9187884719709523,0.033291091034716974,0.58
AAPL,10,ARIMA,statistical_ml,200,3.6039159369316427,1.485169608416001,0.0401160839360506,0.52
AAPL,10,Chronos-LoRA-V1,chronos_lora,50,3.4036641490249577,1.432587795710928,0.036277168880081215,0.62
AAPL,10,Chronos-LoRA-V2,chronos_lora,50,3.3408526762256434,1.3766278699236842,0.035468231337180314,0.64
AAPL,10,Chronos-LoRA-V3,chronos_lora,50,3.385424989079597,1.4010960882857741,0.03593887485531329,0.64
AAPL,10,Chronos-LoRA-V4,chronos_lora,50,3.3801581072753293,1.451925231180489,0.036347489712139885,0.62
AAPL,10,EGARCH,statistical_ml,0,,,,
AAPL,10,ETS,statistical_ml,200,3.465506258824066,1.3394728311185773,0.038851192030515624,0.64
AAPL,10,GARCH,statistical_ml,200,3.3821906320440007,1.3979621646054188,0.03590532272402878,0.68
AAPL,10,GJR-GARCH,statistical_ml,200,3.40072519052063,1.3887578861783272,0.03622643427102795,0.68
AAPL,10,LightGBM,statistical_ml,200,4.113546001599564,1.5734795783592972,0.045850850326581115,0.62
AAPL,10,Naive,statistical_ml,200,3.610375232696533,1.4745950698852504,0.0401661532844384,
AAPL,10,VAR,statistical_ml,0,,,,
AAPL,10,XGBoost,statistical_ml,200,3.800028226193257,1.3327320778445646,0.043564925016836675,0.62
AAPL,20,ARIMA,statistical_ml,200,6.414903169027818,2.3214403257487017,0.06779035480204212,0.52
AAPL,20,Chronos-LoRA-V1,chronos_lora,50,6.220454784806379,2.199258278251122,0.06520457727308454,0.64
AAPL,20,Chronos-LoRA-V2,chronos_lora,50,6.081081893528622,1.9772669855997567,0.0648664093569859,0.64
AAPL,20,Chronos-LoRA-V3,chronos_lora,50,6.1573093743706035,2.213718217857812,0.0650250439406999,0.64
AAPL,20,Chronos-LoRA-V4,chronos_lora,50,6.101657689549501,2.2621330566206748,0.06513837700703945,0.64
AAPL,20,EGARCH,statistical_ml,0,,,,
AAPL,20,ETS,statistical_ml,200,6.412038706019646,2.633375037274508,0.0669275649771778,0.62
AAPL,20,GARCH,statistical_ml,200,5.871409934036536,2.1359590230947134,0.06466579385805084,0.68
AAPL,20,GJR-GARCH,statistical_ml,200,5.9086248934571985,2.1953578454180356,0.06473631881195337,0.68
AAPL,20,LightGBM,statistical_ml,200,7.166321419384665,2.8927489893481084,0.09433409381148725,0.5
AAPL,20,Naive,statistical_ml,200,6.409120712280273,2.3265686035156268,0.0677403942552402,
AAPL,20,VAR,statistical_ml,0,,,,
AAPL,20,XGBoost,statistical_ml,200,7.584682371210465,3.6080024591720132,0.09644596979998507,0.48
AMZN,1,ARIMA,statistical_ml,200,1.1288003590741342,0.4044129734739954,0.013316758117481262,0.56
AMZN,1,Chronos-LoRA-V1,chronos_lora,50,1.135755517580765,0.39480715264685085,0.013317220734525228,0.6
AMZN,1,Chronos-LoRA-V2,chronos_lora,50,1.1218241412714796,0.3997450635995534,0.013215811308478048,0.62
AMZN,1,Chronos-LoRA-V3,chronos_lora,50,1.1243177526368968,0.39044681571338025,0.013223776408025849,0.62
AMZN,1,Chronos-LoRA-V4,chronos_lora,50,1.131536308600079,0.4094595864648749,0.013289605620901358,0.6
AMZN,1,EGARCH,statistical_ml,200,1.1191020663149345,0.3967077784247621,0.013241600864330618,0.64
AMZN,1,ETS,statistical_ml,200,1.131970382795153,0.4234125330928249,0.013370003835606962,0.56
AMZN,1,GARCH,statistical_ml,200,1.1127900285000796,0.4237662851493962,0.01317316706307481,0.64
AMZN,1,GJR-GARCH,statistical_ml,200,1.1170245625787183,0.4054941232251954,0.01321748318005451,0.64
AMZN,1,LightGBM,statistical_ml,200,1.5132406826512008,0.6378859159842065,0.016372692239957378,0.56
AMZN,1,Naive,statistical_ml,200,1.143970279693602,0.4037499427795419,0.013492777907347946,
AMZN,1,VAR,statistical_ml,0,,,,
AMZN,1,XGBoost,statistical_ml,200,1.4409696173499194,0.5800012425305248,0.01620771976588184,0.48
AMZN,5,ARIMA,statistical_ml,200,3.256244507620352,1.1519682936004472,0.03275588323259402,0.6
AMZN,5,Chronos-LoRA-V1,chronos_lora,50,3.225517960254243,1.1144827517041023,0.03300956483210852,0.56
AMZN,5,Chronos-LoRA-V2,chronos_lora,50,3.1973550480279638,1.0789545873854998,0.03306377700213782,0.58
AMZN,5,Chronos-LoRA-V3,chronos_lora,50,3.205659187923578,1.0401639663534432,0.03296078070516236,0.56
AMZN,5,Chronos-LoRA-V4,chronos_lora,50,3.2312476896712066,1.1841066845608452,0.03319292740876548,0.56
AMZN,5,EGARCH,statistical_ml,0,,,,
AMZN,5,ETS,statistical_ml,200,3.26335659099863,1.3665418689336306,0.03304973636598878,0.52
AMZN,5,GARCH,statistical_ml,200,3.192762927089439,1.2299828414025527,0.03265368502908825,0.56
AMZN,5,GJR-GARCH,statistical_ml,200,3.200233483075928,1.3061054567441701,0.03271904671570811,0.56
AMZN,5,LightGBM,statistical_ml,200,3.0473485320075007,1.4097024453197982,0.034474997802087445,0.52
AMZN,5,Naive,statistical_ml,200,3.262930164337159,1.261249542236314,0.033073537103826885,
AMZN,5,VAR,statistical_ml,0,,,,
AMZN,5,XGBoost,statistical_ml,200,3.472490377907336,1.8839076172555451,0.0356708037714646,0.62
AMZN,10,ARIMA,statistical_ml,200,5.238061239994529,1.6494706702654298,0.04779601104460974,0.52
AMZN,10,Chronos-LoRA-V1,chronos_lora,50,4.7884588215810275,1.2389200506146771,0.04545286793182864,0.6
AMZN,10,Chronos-LoRA-V2,chronos_lora,50,4.702259667276732,1.3937154102330496,0.04553045111564844,0.62
AMZN,10,Chronos-LoRA-V3,chronos_lora,50,4.728481638324947,1.2286080686108658,0.04531002233380979,0.6
AMZN,10,Chronos-LoRA-V4,chronos_lora,50,4.792424775978356,1.4204322040088364,0.04565670413963842,0.62
AMZN,10,EGARCH,statistical_ml,0,,,,
AMZN,10,ETS,statistical_ml,200,5.078036065650248,1.5805408178618574,0.04638412313227715,0.58
AMZN,10,GARCH,statistical_ml,200,4.78185985571519,1.6158363080314793,0.04524216430475742,0.6
AMZN,10,GJR-GARCH,statistical_ml,200,4.808859418074547,1.610232955751684,0.04517862262152764,0.6
AMZN,10,LightGBM,statistical_ml,200,5.822859333765972,2.1398160422237993,0.05573932631313094,0.54
AMZN,10,Naive,statistical_ml,200,5.127041244506837,1.6054983139038086,0.046602770333334924,
AMZN,10,VAR,statistical_ml,0,,,,
AMZN,10,XGBoost,statistical_ml,200,5.419068419877238,1.9498725521874007,0.04964691878690853,0.54
AMZN,20,ARIMA,statistical_ml,200,6.3670570231287265,1.8237343614992785,0.06648326293909207,0.5
AMZN,20,Chronos-LoRA-V1,chronos_lora,50,6.4526168874526615,3.037550134018346,0.06769957188045866,0.56
AMZN,20,Chronos-LoRA-V2,chronos_lora,50,6.430326022766065,2.934750522958554,0.0684073927019625,0.56
AMZN,20,Chronos-LoRA-V3,chronos_lora,50,6.423825611626679,3.0170645523623207,0.0679915150594768,0.56
AMZN,20,Chronos-LoRA-V4,chronos_lora,50,6.432415433169057,2.971065452359211,0.06781814427429113,0.56
AMZN,20,EGARCH,statistical_ml,0,,,,
AMZN,20,ETS,statistical_ml,200,6.259977641152677,2.096017901797534,0.06472890187198249,0.48
AMZN,20,GARCH,statistical_ml,200,6.2748087727025075,2.9957275069453093,0.06547222150846643,0.54
AMZN,20,GJR-GARCH,statistical_ml,200,6.242026784319972,3.2249930155457385,0.06509504323973507,0.54
AMZN,20,LightGBM,statistical_ml,200,7.5465802209043025,3.2255212630014647,0.0749382931571101,0.74
AMZN,20,Naive,statistical_ml,200,6.20187002182007,2.036247253417983,0.06424552877572327,
AMZN,20,VAR,statistical_ml,0,,,,
AMZN,20,XGBoost,statistical_ml,200,8.078667285199804,3.4595232568138172,0.08029075594680421,0.68
CVNA,1,ARIMA,statistical_ml,200,1.311223933473862,0.5997427225275529,0.046281833325578996,0.44
CVNA,1,Chronos-LoRA-V1,chronos_lora,50,1.314259786310341,0.6078592343721767,0.046809985124271945,0.44
CVNA,1,Chronos-LoRA-V2,chronos_lora,50,1.3232650070415761,0.5987504568349382,0.04685047895578839,0.42
CVNA,1,Chronos-LoRA-V3,chronos_lora,50,1.3207617056689176,0.6031595423843359,0.04688341258560404,0.38
CVNA,1,Chronos-LoRA-V4,chronos_lora,50,1.3201232262155775,0.6085957513526772,0.04682110524446679,0.4
CVNA,1,EGARCH,statistical_ml,200,1.3014577459360683,0.5678195955227898,0.04590208677528187,0.4
CVNA,1,ETS,statistical_ml,200,1.3008480207695396,0.5914598114565637,0.047728307003006884,0.38
CVNA,1,GARCH,statistical_ml,200,1.3037380697717256,0.5677876179434747,0.04603817046503347,0.38
CVNA,1,GJR-GARCH,statistical_ml,200,1.303619565979603,0.5680318588459419,0.046070123978564324,0.36
CVNA,1,LightGBM,statistical_ml,200,1.5567860705580039,0.761064656142393,0.055715933669142174,0.38
CVNA,1,Naive,statistical_ml,200,1.2933198761939997,0.5829994678497314,0.045635954448773594,
CVNA,1,VAR,statistical_ml,0,,,,
CVNA,1,XGBoost,statistical_ml,200,1.4367182848039641,0.6786622970105407,0.05753336537943838,0.38
CVNA,5,ARIMA,statistical_ml,200,2.4656014967043594,1.3580231492166401,0.10104993225795068,0.54
CVNA,5,Chronos-LoRA-V1,chronos_lora,50,2.579038805504563,1.477915015930348,0.09790230140294956,0.58
CVNA,5,Chronos-LoRA-V2,chronos_lora,50,2.6177585102636725,1.4271560201377262,0.09854930196245429,0.64
CVNA,5,Chronos-LoRA-V3,chronos_lora,50,2.601630172504767,1.5356772473580618,0.09812299961706947,0.58
CVNA,5,Chronos-LoRA-V4,chronos_lora,50,2.576485268671277,1.4603602497997619,0.09746178911835854,0.62
CVNA,5,EGARCH,statistical_ml,0,,,,
CVNA,5,ETS,statistical_ml,200,2.457421951978933,1.5620243224841857,0.09724053044260848,0.52
CVNA,5,GARCH,statistical_ml,200,2.4930864684835963,1.31929291676461,0.10169568847353018,0.46
CVNA,5,GJR-GARCH,statistical_ml,200,2.491621847091883,1.3710542560316696,0.10170535629020767,0.44
CVNA,5,LightGBM,statistical_ml,200,2.686696006148484,1.6523667578599266,0.12863594684780072,0.56
CVNA,5,Naive,statistical_ml,200,2.4698403894901273,1.4669985771179164,0.10104669415326185,
CVNA,5,VAR,statistical_ml,0,,,,
CVNA,5,XGBoost,statistical_ml,200,2.650157031418608,2.0115493596579377,0.12666593111284366,0.58
CVNA,10,ARIMA,statistical_ml,200,3.1234654296044315,1.9998887158821157,0.1287667366424836,0.5
CVNA,10,Chronos-LoRA-V1,chronos_lora,50,3.5054260985701884,1.93461538656371,0.12865550097255968,0.52
CVNA,10,Chronos-LoRA-V2,chronos_lora,50,3.5505836198897534,1.9282407159937858,0.12893569734715635,0.58
CVNA,10,Chronos-LoRA-V3,chronos_lora,50,3.5362044165820525,1.9208214456985102,0.12887163019307044,0.56
CVNA,10,Chronos-LoRA-V4,chronos_lora,50,3.500654771049129,1.8939258671975612,0.12761192878930663,0.58
CVNA,10,EGARCH,statistical_ml,0,,,,
CVNA,10,ETS,statistical_ml,200,3.2331331601370654,1.9974513362713378,0.13320128233107242,0.5
CVNA,10,GARCH,statistical_ml,200,3.203526957999179,1.9449108699344606,0.1319965233506394,0.46
CVNA,10,GJR-GARCH,statistical_ml,200,3.2111304550258155,1.9818496050376586,0.13242665160951061,0.44
CVNA,10,LightGBM,statistical_ml,200,4.48421940950004,3.4240971812723835,0.18535064906372764,0.44
CVNA,10,Naive,statistical_ml,200,3.1259596276283257,2.0259976387023926,0.12878512217794558,
CVNA,10,VAR,statistical_ml,0,,,,
CVNA,10,XGBoost,statistical_ml,200,4.520242053485656,3.391344122076596,0.18478329793189047,0.38
CVNA,20,ARIMA,statistical_ml,200,4.6999069951370425,2.942162445006808,0.1935601371927977,0.52
CVNA,20,Chronos-LoRA-V1,chronos_lora,50,5.190767155385978,3.1217286053051194,0.20617763029152886,0.5
CVNA,20,Chronos-LoRA-V2,chronos_lora,50,5.190818939569669,3.1637771840381497,0.20071706407884837,0.56
CVNA,20,Chronos-LoRA-V3,chronos_lora,50,5.171375569477817,3.168319498629794,0.20287089095187613,0.58
CVNA,20,Chronos-LoRA-V4,chronos_lora,50,5.137658299317957,2.894156675873688,0.2005773976427321,0.56
CVNA,20,EGARCH,statistical_ml,0,,,,
CVNA,20,ETS,statistical_ml,200,4.735152558986727,3.2179591408264336,0.21526958249393666,0.52
CVNA,20,GARCH,statistical_ml,200,4.73097518375414,2.821034244644581,0.19617687398886038,0.52
CVNA,20,GJR-GARCH,statistical_ml,200,4.736837159837518,3.0365392518973655,0.19700028223588284,0.5
CVNA,20,LightGBM,statistical_ml,200,7.514513447436989,5.420748045513923,0.31428701627468003,0.36
CVNA,20,Naive,statistical_ml,200,4.689639966487884,3.000000476837159,0.19342254100848108,
CVNA,20,VAR,statistical_ml,0,,,,
CVNA,20,XGBoost,statistical_ml,200,7.261916093026109,4.966836679653909,0.3092238454516219,0.42
ENPH,1,ARIMA,statistical_ml,200,2.3242981494039943,0.37384272822963993,0.03834628144066162,0.56
ENPH,1,Chronos-LoRA-V1,chronos_lora,50,2.3063770416082434,0.3607161084133317,0.03907158987407097,0.42
ENPH,1,Chronos-LoRA-V2,chronos_lora,50,2.279880869643072,0.4102854282554649,0.03907250175637092,0.4
ENPH,1,Chronos-LoRA-V3,chronos_lora,50,2.2804782143777556,0.4014513624473066,0.038926810972338736,0.44
ENPH,1,Chronos-LoRA-V4,chronos_lora,50,2.3051362440488,0.41071793470580786,0.039350207639539656,0.4
ENPH,1,EGARCH,statistical_ml,200,2.3096711025713508,0.3694930087910233,0.03832910341512174,0.62
ENPH,1,ETS,statistical_ml,200,2.3244595017995384,0.3707738590071621,0.038659850811655974,0.5
ENPH,1,GARCH,statistical_ml,200,2.30701690004466,0.3696314301414798,0.038313846272976154,0.64
