challenger,baseline,comparisons,wins,losses,ties,win_rate_excluding_ties
ARIMA,Chronos-LoRA-V1,40,25,15,0,0.625
ARIMA,Chronos-LoRA-V2,40,23,17,0,0.575
ARIMA,Chronos-LoRA-V3,40,23,17,0,0.575
ARIMA,Chronos-LoRA-V4,40,25,15,0,0.625
ARIMA,EGARCH,10,1,9,0,0.1
ARIMA,ETS,40,19,21,0,0.475
ARIMA,GARCH,40,13,27,0,0.325
ARIMA,GJR-GARCH,40,13,27,0,0.325
ARIMA,LightGBM,40,36,4,0,0.9
ARIMA,Naive,40,15,25,0,0.375
ARIMA,XGBoost,40,34,6,0,0.85
Chronos-LoRA-V1,ARIMA,40,15,25,0,0.375
Chronos-LoRA-V1,Chronos-LoRA-V2,40,20,20,0,0.5
Chronos-LoRA-V1,Chronos-LoRA-V3,40,18,22,0,0.45
Chronos-LoRA-V1,Chronos-LoRA-V4,40,20,20,0,0.5
Chronos-LoRA-V1,EGARCH,10,4,6,0,0.4
Chronos-LoRA-V1,ETS,40,16,24,0,0.4
Chronos-LoRA-V1,GARCH,40,9,31,0,0.225
Chronos-LoRA-V1,GJR-GARCH,40,10,30,0,0.25
Chronos-LoRA-V1,LightGBM,40,37,3,0,0.925
Chronos-LoRA-V1,Naive,40,16,24,0,0.4
Chronos-LoRA-V1,XGBoost,40,38,2,0,0.95
Chronos-LoRA-V2,ARIMA,40,17,23,0,0.425
Chronos-LoRA-V2,Chronos-LoRA-V1,40,20,20,0,0.5
Chronos-LoRA-V2,Chronos-LoRA-V3,40,16,24,0,0.4
Chronos-LoRA-V2,Chronos-LoRA-V4,40,23,17,0,0.575
Chronos-LoRA-V2,EGARCH,10,5,5,0,0.5
Chronos-LoRA-V2,ETS,40,17,23,0,0.425
Chronos-LoRA-V2,GARCH,40,11,29,0,0.275
Chronos-LoRA-V2,GJR-GARCH,40,13,27,0,0.325
Chronos-LoRA-V2,LightGBM,40,36,4,0,0.9
Chronos-LoRA-V2,Naive,40,16,24,0,0.4
