ticker,cutoff_date,model,status
AAPL,2011-03-11,GARCH,success
AAPL,2011-07-05,GARCH,success
AAPL,2011-10-25,GARCH,success
AAPL,2012-02-17,GARCH,success
AAPL,2012-06-12,GARCH,success
AAPL,2012-10-03,GARCH,success
AAPL,2013-01-30,GARCH,success
AAPL,2013-05-23,GARCH,success
AAPL,2013-09-16,GARCH,success
AAPL,2014-01-08,GARCH,success
AAPL,2014-05-02,GARCH,success
AAPL,2014-08-25,GARCH,success
AAPL,2014-12-16,GARCH,success
AAPL,2015-04-13,GARCH,success
AAPL,2015-08-04,GARCH,success
AAPL,2015-11-24,GARCH,success
AAPL,2016-03-21,GARCH,success
AAPL,2016-07-13,GARCH,success
AAPL,2016-11-02,GARCH,success
AAPL,2017-02-28,GARCH,success
AAPL,2017-06-21,GARCH,success
AAPL,2017-10-12,GARCH,success
AAPL,2018-02-06,GARCH,success
AAPL,2018-05-31,GARCH,success
AAPL,2018-09-21,GARCH,success
AAPL,2019-01-17,GARCH,success
AAPL,2019-05-13,GARCH,success
AAPL,2019-09-04,GARCH,success
AAPL,2019-12-26,GARCH,success
AAPL,2020-04-21,GARCH,success
AAPL,2020-08-12,GARCH,success
AAPL,2020-12-03,GARCH,success
AAPL,2021-03-30,GARCH,success
AAPL,2021-07-22,GARCH,success
AAPL,2021-11-11,GARCH,success
AAPL,2022-03-08,GARCH,success
AAPL,2022-06-30,GARCH,success
AAPL,2022-10-21,GARCH,success
AAPL,2023-02-15,GARCH,success
AAPL,2023-06-09,GARCH,success
AAPL,2023-10-03,GARCH,success
AAPL,2024-01-26,GARCH,success
AAPL,2024-05-20,GARCH,success
AAPL,2024-09-12,GARCH,success
AAPL,2025-01-06,GARCH,success
AAPL,2025-05-01,GARCH,success
AAPL,2025-08-25,GARCH,success
AAPL,2025-12-16,GARCH,success
AAPL,2026-04-13,GARCH,success
AAPL,2026-08-06,GARCH,success
MSFT,2011-03-11,GARCH,success
MSFT,2011-07-05,GARCH,success
MSFT,2011-10-25,GARCH,success
MSFT,2012-02-17,GARCH,success
MSFT,2012-06-12,GARCH,success
MSFT,2012-10-03,GARCH,success
MSFT,2013-01-30,GARCH,success
MSFT,2013-05-23,GARCH,success
MSFT,2013-09-16,GARCH,success
MSFT,2014-01-08,GARCH,success
MSFT,2014-05-02,GARCH,success
MSFT,2014-08-25,GARCH,success
MSFT,2014-12-16,GARCH,success
MSFT,2015-04-13,GARCH,success
MSFT,2015-08-04,GARCH,success
MSFT,2015-11-24,GARCH,success
MSFT,2016-03-21,GARCH,success
MSFT,2016-07-13,GARCH,success
MSFT,2016-11-02,GARCH,success
MSFT,2017-02-28,GARCH,success
MSFT,2017-06-21,GARCH,success
MSFT,2017-10-12,GARCH,success
MSFT,2018-02-06,GARCH,success
MSFT,2018-05-31,GARCH,success
MSFT,2018-09-21,GARCH,success
MSFT,2019-01-17,GARCH,success
MSFT,2019-05-13,GARCH,success
MSFT,2019-09-04,GARCH,success
MSFT,2019-12-26,GARCH,success
MSFT,2020-04-21,GARCH,success
MSFT,2020-08-12,GARCH,success
MSFT,2020-12-03,GARCH,success
MSFT,2021-03-30,GARCH,success
MSFT,2021-07-22,GARCH,success
MSFT,2021-11-11,GARCH,success
MSFT,2022-03-08,GARCH,success
MSFT,2022-06-30,GARCH,success
MSFT,2022-10-21,GARCH,success
MSFT,2023-02-15,GARCH,success
MSFT,2023-06-09,GARCH,success
MSFT,2023-10-03,GARCH,success
MSFT,2024-01-26,GARCH,success
MSFT,2024-05-20,GARCH,success
MSFT,2024-09-12,GARCH,success
MSFT,2025-01-06,GARCH,success
MSFT,2025-05-01,GARCH,success
MSFT,2025-08-25,GARCH,success
MSFT,2025-12-16,GARCH,success
MSFT,2026-04-13,GARCH,success
MSFT,2026-08-06,GARCH,success
NVDA,2011-03-11,GARCH,success
NVDA,2011-07-05,GARCH,success
NVDA,2011-10-25,GARCH,success
NVDA,2012-02-17,GARCH,success
NVDA,2012-06-12,GARCH,success
NVDA,2012-10-03,GARCH,success
NVDA,2013-01-30,GARCH,success
NVDA,2013-05-23,GARCH,success
NVDA,2013-09-16,GARCH,success
NVDA,2014-01-08,GARCH,success
NVDA,2014-05-02,GARCH,success
NVDA,2014-08-25,GARCH,success
NVDA,2014-12-16,GARCH,success
NVDA,2015-04-13,GARCH,success
NVDA,2015-08-04,GARCH,success
NVDA,2015-11-24,GARCH,success
NVDA,2016-03-21,GARCH,success
NVDA,2016-07-13,GARCH,success
NVDA,2016-11-02,GARCH,success
NVDA,2017-02-28,GARCH,success
NVDA,2017-06-21,GARCH,success
NVDA,2017-10-12,GARCH,success
NVDA,2018-02-06,GARCH,success
NVDA,2018-05-31,GARCH,success
NVDA,2018-09-21,GARCH,success
NVDA,2019-01-17,GARCH,success
NVDA,2019-05-13,GARCH,success
NVDA,2019-09-04,GARCH,success
NVDA,2019-12-26,GARCH,success
NVDA,2020-04-21,GARCH,success
NVDA,2020-08-12,GARCH,success
NVDA,2020-12-03,GARCH,success
NVDA,2021-03-30,GARCH,success
NVDA,2021-07-22,GARCH,success
NVDA,2021-11-11,GARCH,success
NVDA,2022-03-08,GARCH,success
NVDA,2022-06-30,GARCH,success
NVDA,2022-10-21,GARCH,success
NVDA,2023-02-15,GARCH,success
NVDA,2023-06-09,GARCH,success
NVDA,2023-10-03,GARCH,success
NVDA,2024-01-26,GARCH,success
NVDA,2024-05-20,GARCH,success
NVDA,2024-09-12,GARCH,success
NVDA,2025-01-06,GARCH,success
NVDA,2025-05-01,GARCH,success
NVDA,2025-08-25,GARCH,success
NVDA,2025-12-16,GARCH,success
NVDA,2026-04-13,GARCH,success
NVDA,2026-08-06,GARCH,success
AMZN,2011-03-11,GARCH,success
AMZN,2011-07-05,GARCH,success
AMZN,2011-10-25,GARCH,success
AMZN,2012-02-17,GARCH,success
AMZN,2012-06-12,GARCH,success
AMZN,2012-10-03,GARCH,success
AMZN,2013-01-30,GARCH,success
