ticker,horizon,mae_a,mae_b,winner,comparison
AAPL,1,1.0558616032881307,1.058823514320892,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
AAPL,5,2.9097966278460983,2.908317909597214,GARCH,Chronos-LoRA-V5 vs GARCH
AAPL,10,3.311358294538203,3.3821906320440007,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
AAPL,20,6.111913041135149,5.871409934036536,GARCH,Chronos-LoRA-V5 vs GARCH
AMZN,1,1.1129719823613662,1.1127900285000796,GARCH,Chronos-LoRA-V5 vs GARCH
AMZN,5,3.2297694488938378,3.192762927089439,GARCH,Chronos-LoRA-V5 vs GARCH
AMZN,10,4.810977157644658,4.78185985571519,GARCH,Chronos-LoRA-V5 vs GARCH
AMZN,20,6.336020033306462,6.2748087727025075,GARCH,Chronos-LoRA-V5 vs GARCH
CVNA,1,1.310127376508965,1.3037380697717256,GARCH,Chronos-LoRA-V5 vs GARCH
CVNA,5,2.568723082200062,2.4930864684835963,GARCH,Chronos-LoRA-V5 vs GARCH
CVNA,10,3.463131258839732,3.203526957999179,GARCH,Chronos-LoRA-V5 vs GARCH
CVNA,20,5.197024976503667,4.73097518375414,GARCH,Chronos-LoRA-V5 vs GARCH
ENPH,1,2.277841028231538,2.30701690004466,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
ENPH,5,5.4145151388632975,5.2716547979262245,GARCH,Chronos-LoRA-V5 vs GARCH
ENPH,10,8.083869283494513,7.94693516470971,GARCH,Chronos-LoRA-V5 vs GARCH
ENPH,20,12.302508019257678,12.168630977836363,GARCH,Chronos-LoRA-V5 vs GARCH
IONQ,1,1.3118726778015295,1.3073580531743525,GARCH,Chronos-LoRA-V5 vs GARCH
IONQ,5,2.7456267650648702,2.726103354826817,GARCH,Chronos-LoRA-V5 vs GARCH
IONQ,10,3.6053794766181455,3.6128928686259525,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
IONQ,20,5.228847604101849,5.1563626028992555,GARCH,Chronos-LoRA-V5 vs GARCH
MSFT,1,2.0466190947163714,2.090924316129355,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
MSFT,5,4.197850618717251,4.237094322146184,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
MSFT,10,5.846664364731032,6.053670676229193,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
MSFT,20,6.450885861974215,6.294012861635444,GARCH,Chronos-LoRA-V5 vs GARCH
NVDA,1,0.797047904568972,0.8171079658500647,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
NVDA,5,1.9564339749774815,2.0264524101427397,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
NVDA,10,2.443769942397663,2.492922844009872,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
NVDA,20,3.6110244707927275,3.624380505800566,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
PLUG,1,0.2602041765317143,0.265133798571588,Chronos-LoRA-V5,Chronos-LoRA-V5 vs GARCH
PLUG,5,0.6263078438404829,0.5972389212800252,GARCH,Chronos-LoRA-V5 vs GARCH
PLUG,10,0.7971242912676557,0.7464538903215874,GARCH,Chronos-LoRA-V5 vs GARCH
PLUG,20,1.2300803407948995,1.1559057006982492,GARCH,Chronos-LoRA-V5 vs GARCH
RKLB,1,1.6102207331651994,1.585479225283749,GARCH,Chronos-LoRA-V5 vs GARCH
RKLB,5,2.7285292655729454,2.333615492157901,GARCH,Chronos-LoRA-V5 vs GARCH
RKLB,10,4.504337704508666,4.0742594645049905,GARCH,Chronos-LoRA-V5 vs GARCH
RKLB,20,7.141290599532697,6.517517497357302,GARCH,Chronos-LoRA-V5 vs GARCH
SMCI,1,0.3211900373265344,0.3155424574503196,GARCH,Chronos-LoRA-V5 vs GARCH
SMCI,5,1.034487911349976,0.9962174263493355,GARCH,Chronos-LoRA-V5 vs GARCH
SMCI,10,1.8009032326548375,1.7318180132172152,GARCH,Chronos-LoRA-V5 vs GARCH
SMCI,20,2.021293432546214,1.7942611769127381,GARCH,Chronos-LoRA-V5 vs GARCH
AAPL,1,1.0580720819582672,1.058823514320892,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
AAPL,5,2.9065183869070297,2.908317909597214,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
AAPL,10,3.2862216205091683,3.3821906320440007,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
AAPL,20,6.083941713756921,5.871409934036536,GARCH,Chronos-LoRA-V6 vs GARCH
AMZN,1,1.1136667776867943,1.1127900285000796,GARCH,Chronos-LoRA-V6 vs GARCH
AMZN,5,3.236694392156944,3.192762927089439,GARCH,Chronos-LoRA-V6 vs GARCH
AMZN,10,4.854544630734664,4.78185985571519,GARCH,Chronos-LoRA-V6 vs GARCH
AMZN,20,6.411698113937754,6.2748087727025075,GARCH,Chronos-LoRA-V6 vs GARCH
CVNA,1,1.3041208705486915,1.3037380697717256,GARCH,Chronos-LoRA-V6 vs GARCH
CVNA,5,2.5676214503414316,2.4930864684835963,GARCH,Chronos-LoRA-V6 vs GARCH
CVNA,10,3.502729933434764,3.203526957999179,GARCH,Chronos-LoRA-V6 vs GARCH
CVNA,20,5.246364040313597,4.73097518375414,GARCH,Chronos-LoRA-V6 vs GARCH
ENPH,1,2.283160843081982,2.30701690004466,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
ENPH,5,5.3932740411125994,5.2716547979262245,GARCH,Chronos-LoRA-V6 vs GARCH
ENPH,10,8.133252895525173,7.94693516470971,GARCH,Chronos-LoRA-V6 vs GARCH
ENPH,20,12.329034271224026,12.168630977836363,GARCH,Chronos-LoRA-V6 vs GARCH
IONQ,1,1.3106002770792688,1.3073580531743525,GARCH,Chronos-LoRA-V6 vs GARCH
IONQ,5,2.7572260639411086,2.726103354826817,GARCH,Chronos-LoRA-V6 vs GARCH
IONQ,10,3.6189513633502015,3.6128928686259525,GARCH,Chronos-LoRA-V6 vs GARCH
IONQ,20,5.261958339949409,5.1563626028992555,GARCH,Chronos-LoRA-V6 vs GARCH
MSFT,1,2.0472182769283322,2.090924316129355,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
MSFT,5,4.188829656957978,4.237094322146184,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
MSFT,10,5.870434982960538,6.053670676229193,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
MSFT,20,6.498227301781388,6.294012861635444,GARCH,Chronos-LoRA-V6 vs GARCH
NVDA,1,0.8003038372349282,0.8171079658500647,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
NVDA,5,1.9611842547609404,2.0264524101427397,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
NVDA,10,2.4291853237835874,2.492922844009872,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
NVDA,20,3.6185179817494824,3.624380505800566,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
PLUG,1,0.26089394526170484,0.265133798571588,Chronos-LoRA-V6,Chronos-LoRA-V6 vs GARCH
PLUG,5,0.6260897575716641,0.5972389212800252,GARCH,Chronos-LoRA-V6 vs GARCH
PLUG,10,0.8019364622678269,0.7464538903215874,GARCH,Chronos-LoRA-V6 vs GARCH
PLUG,20,1.2418499868716857,1.1559057006982492,GARCH,Chronos-LoRA-V6 vs GARCH
RKLB,1,1.6117191704093257,1.585479225283749,GARCH,Chronos-LoRA-V6 vs GARCH
RKLB,5,2.7230311837544012,2.333615492157901,GARCH,Chronos-LoRA-V6 vs GARCH
RKLB,10,4.520235140023621,4.0742594645049905,GARCH,Chronos-LoRA-V6 vs GARCH
RKLB,20,7.210756533890216,6.517517497357302,GARCH,Chronos-LoRA-V6 vs GARCH
SMCI,1,0.3218524121756144,0.3155424574503196,GARCH,Chronos-LoRA-V6 vs GARCH
SMCI,5,1.0482409952283591,0.9962174263493355,GARCH,Chronos-LoRA-V6 vs GARCH
SMCI,10,1.8210084032509468,1.7318180132172152,GARCH,Chronos-LoRA-V6 vs GARCH
SMCI,20,2.027267507190283,1.7942611769127381,GARCH,Chronos-LoRA-V6 vs GARCH
AAPL,1,1.0580720819582672,1.0558616032881307,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
AAPL,5,2.9065183869070297,2.9097966278460983,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
AAPL,10,3.2862216205091683,3.311358294538203,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
AAPL,20,6.083941713756921,6.111913041135149,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
AMZN,1,1.1136667776867943,1.1129719823613662,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
AMZN,5,3.236694392156944,3.2297694488938378,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
AMZN,10,4.854544630734664,4.810977157644658,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
AMZN,20,6.411698113937754,6.336020033306462,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
CVNA,1,1.3041208705486915,1.310127376508965,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
CVNA,5,2.5676214503414316,2.568723082200062,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
CVNA,10,3.502729933434764,3.463131258839732,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
CVNA,20,5.246364040313597,5.197024976503667,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
ENPH,1,2.283160843081982,2.277841028231538,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
ENPH,5,5.3932740411125994,5.4145151388632975,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
ENPH,10,8.133252895525173,8.083869283494513,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
ENPH,20,12.329034271224026,12.302508019257678,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
IONQ,1,1.3106002770792688,1.3118726778015295,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
IONQ,5,2.7572260639411086,2.7456267650648702,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
IONQ,10,3.6189513633502015,3.6053794766181455,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
IONQ,20,5.261958339949409,5.228847604101849,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
MSFT,1,2.0472182769283322,2.0466190947163714,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
MSFT,5,4.188829656957978,4.197850618717251,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
MSFT,10,5.870434982960538,5.846664364731032,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
MSFT,20,6.498227301781388,6.450885861974215,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
NVDA,1,0.8003038372349282,0.797047904568972,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
NVDA,5,1.9611842547609404,1.9564339749774815,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
NVDA,10,2.4291853237835874,2.443769942397663,Chronos-LoRA-V6,Chronos-LoRA-V6 vs Chronos-LoRA-V5
NVDA,20,3.6185179817494824,3.6110244707927275,Chronos-LoRA-V5,Chronos-LoRA-V6 vs Chronos-LoRA-V5
