horizon,model,observations,stocks,avg_mae,median_mae,avg_return_abs_error,directional_accuracy
1,Chronos-LoRA-V5,500,10,1.2103956614500322,0.2972547376237529,0.029587848071400958,0.548
1,Chronos-LoRA-V6,500,10,1.211160849236491,0.29541015367186496,0.029601658405451148,0.54
1,GARCH,500,10,1.2163914329096785,0.2904758849944926,0.029554729071448772,0.55
5,GARCH,500,10,2.6782544029999475,0.6215320571959007,0.06439468406734572,0.558
5,Chronos-LoRA-V6,500,10,2.740871018273246,0.6382233795500829,0.06519341251642097,0.546
5,Chronos-LoRA-V5,500,10,2.7412040677326304,0.6545180710677235,0.06517583076902109,0.55
10,GARCH,500,10,3.802653036737689,0.8636412304726904,0.09225105065196813,0.558
10,Chronos-LoRA-V5,500,10,3.86675150066951,0.8929809797235455,0.09298218084349727,0.576
10,Chronos-LoRA-V6,500,10,3.883850075584049,0.9259502616594348,0.09321152388468534,0.576
20,GARCH,500,10,5.35882652136331,1.3499151445884108,0.1385753265134465,0.564
20,Chronos-LoRA-V5,500,10,5.563088837994555,1.2985207758970336,0.1410407919266055,0.582
20,Chronos-LoRA-V6,500,10,5.592961579066476,1.4560881665809546,0.14120489251360735,0.586
